stock_code,panel_months,zero_months,units,zero_share
20800,23,20,1005,0.8696
20801,23,6,1092,0.2609
20802,24,0,1051,0.0000
20803,24,6,1149,0.2500
20804,24,18,325,0.7500
20812,24,22,5,0.9167
20814,24,21,189,0.8750
20816,22,16,24,0.7273
20818,24,11,87,0.4583
20819,24,3,228,0.1250
20820,24,16,11,0.6667
20821,24,9,42,0.3750
20822,22,21,2,0.9545
20823,24,16,253,0.6667
20825,24,19,361,0.7917
20826,24,16,355,0.6667
20827,24,19,173,0.7917
20828,24,0,4388,0.0000
20829,24,0,4800,0.0000
20830,24,4,407,0.1667
20831,24,1,426,0.0417
20832,24,2,1609,0.0833
20833,24,21,52,0.8750
20835,21,15,80,0.7143
20836,21,11,224,0.5238
20837,24,15,165,0.6250
20838,22,9,445,0.4091
20839,24,4,600,0.1667
20840,24,6,844,0.2500
20845,24,13,76,0.5417
20846,24,0,1409,0.0000
20847,24,7,80,0.2917
20848,24,13,39,0.5417
20849,24,14,674,0.5833
20850,23,15,820,0.6522
20851,24,9,335,0.3750
20854,24,9,441,0.3750
20855,24,15,142,0.6250
20856,24,3,408,0.1250
20857,24,9,249,0.3750
20858,24,23,4,0.9583
20860,20,13,20,0.6500
20861,24,16,46,0.6667
20862,24,18,325,0.7500
20863,24,15,293,0.6250
20864,24,15,252,0.6250
20865,24,17,251,0.7083
20866,24,1,1269,0.0417
20867,24,2,1095,0.0833
20868,24,5,875,0.2083
20869,24,6,523,0.2500
20870,24,23,29,0.9583
20871,24,11,1273,0.4583
20877,24,23,12,0.9583
20878,24,18,737,0.7500
20879,24,23,57,0.9583
20881,24,23,3,0.9583
20882,24,23,3,0.9583
20884,24,23,3,0.9583
20885,24,23,1,0.9583
20886,24,0,1777,0.0000
20887,24,23,18,0.9583
20888,24,20,367,0.8333
20889,24,20,657,0.8333
20890,23,19,605,0.8261
20891,23,21,684,0.9130
20892,24,11,102,0.4583
20893,24,3,500,0.1250
20894,24,5,266,0.2083
20895,24,21,16,0.8750
20896,24,18,39,0.7500
20897,24,5,351,0.2083
20898,24,8,327,0.3333
20899,24,19,44,0.7917
20901,24,13,91,0.5417
20902,24,4,206,0.1667
20903,24,2,187,0.0833
20905,24,22,10,0.9167
20906,24,10,101,0.4167
20910,24,11,106,0.4583
20913,24,22,314,0.9167
20914,24,0,18523,0.0000
20931,24,1,654,0.0417
20932,24,2,294,0.0833
20933,24,9,504,0.3750
20934,24,7,197,0.2917
20935,24,11,300,0.4583
20936,24,4,330,0.1667
20939,24,23,12,0.9583
20940,24,23,118,0.9583
20941,24,4,998,0.1667
20942,24,23,6,0.9583
20943,24,16,381,0.6667
20950,24,17,687,0.7083
20952,24,15,329,0.6250
20953,21,17,33,0.8095
20954,24,22,3,0.9167
20956,24,1,2308,0.0417
20957,20,13,126,0.6500
20958,21,14,38,0.6667
20960,24,9,1900,0.3750
20961,24,0,3440,0.0000
20963,24,0,3396,0.0000
20964,24,19,20,0.7917
20966,24,3,3007,0.1250
20967,24,5,1055,0.2083
20968,24,22,43,0.9167
20969,24,0,3182,0.0000
20970,24,0,2448,0.0000
20971,24,0,21880,0.0000
20972,24,0,20288,0.0000
20973,21,1,9579,0.0476
20974,24,0,13207,0.0000
20975,24,2,17799,0.0833
20976,24,14,549,0.5833
20977,24,0,3792,0.0000
20978,24,0,4044,0.0000
20979,24,0,8116,0.0000
20980,24,8,233,0.3333
20981,24,0,4667,0.0000
20982,24,0,4748,0.0000
20983,24,0,6220,0.0000
20984,24,1,5867,0.0417
20985,24,0,2339,0.0000
20986,24,0,1200,0.0000
20987,24,23,131,0.9583
20988,24,21,24,0.8750
20989,24,20,407,0.8333
20990,24,17,895,0.7083
20991,24,21,7084,0.8750
20992,24,0,5945,0.0000
20993,24,20,10967,0.8333
20994,24,22,47,0.9167
20996,24,0,6125,0.0000
20997,24,6,165,0.2500
20998,24,2,324,0.0833
21000,24,1,688,0.0417
21001,24,0,140,0.0000
21002,24,4,417,0.1667
21003,21,8,101,0.3810
21004,24,12,137,0.5000
21007,24,15,1927,0.6250
21008,22,21,1,0.9545
21009,24,15,1047,0.6250
21010,24,16,850,0.6667
21011,24,16,1840,0.6667
21012,24,0,2157,0.0000
21014,24,8,1850,0.3333
21015,24,8,1558,0.3333
21016,24,16,834,0.6667
21017,24,14,659,0.5833
21018,24,17,213,0.7083
21025,24,5,296,0.2083
21026,24,5,542,0.2083
21027,24,3,355,0.1250
21028,24,1,320,0.0417
21030,24,6,239,0.2500
21031,24,8,144,0.3333
21032,24,6,203,0.2500
21033,24,2,4590,0.0833
21034,24,0,3922,0.0000
21035,24,0,5872,0.0000
21036,24,23,1,0.9583
21038,24,8,166,0.3333
21039,24,0,1312,0.0000
21040,24,11,894,0.4583
21041,24,4,2666,0.1667
21042,24,0,1469,0.0000
21043,24,6,677,0.2500
21051,24,4,741,0.1667
21054,24,4,382,0.1667
21055,24,0,384,0.0000
21056,24,0,537,0.0000
21058,24,0,2391,0.0000
21059,24,0,1589,0.0000
21060,24,0,1257,0.0000
21061,24,0,1382,0.0000
21062,24,0,1041,0.0000
21063,24,0,1440,0.0000
21064,24,0,783,0.0000
21065,24,2,585,0.0833
21066,24,0,2283,0.0000
21067,24,2,4763,0.0833
21068,24,0,4054,0.0000
21069,24,3,5099,0.1250
21070,24,0,2029,0.0000
21071,24,1,4269,0.0417
21076,24,20,843,0.8333
21077,24,14,2790,0.5833
21078,24,1,7211,0.0417
21080,24,0,30842,0.0000
21081,24,22,4,0.9167
21082,24,6,7183,0.2500
21084,24,1,2861,0.0417
21085,24,16,13731,0.6667
21086,24,1,16619,0.0417
21087,23,11,260,0.4783
21088,24,3,16590,0.1250
21089,23,7,323,0.3043
21090,24,1,3081,0.0417
21091,24,20,13700,0.8333
21092,24,20,12846,0.8333
21094,24,0,19571,0.0000
21095,24,7,295,0.2917
21096,24,4,15917,0.1667
21097,23,19,32,0.8261
21098,24,9,8348,0.3750
21099,24,18,13290,0.7500
21100,24,8,2540,0.3333
21102,24,20,82,0.8333
21106,24,0,789,0.0000
21107,24,0,2061,0.0000
21108,24,0,12754,0.0000
21109,24,0,930,0.0000
21110,24,1,1640,0.0417
21111,24,1,1179,0.0417
21112,24,1,2221,0.0417
21114,24,0,5656,0.0000
21115,24,0,1088,0.0000
21116,24,0,1353,0.0000
21117,24,7,328,0.2917
21118,24,22,69,0.9167
21119,24,21,3,0.8750
21120,12,11,1,0.9167
21121,24,0,15106,0.0000
21122,24,0,12101,0.0000
21123,24,0,2704,0.0000
21124,24,0,9994,0.0000
21125,24,0,2111,0.0000
21126,24,0,2301,0.0000
21127,24,17,297,0.7083
21128,24,1,118,0.0417
21129,24,3,124,0.1250
21130,24,17,721,0.7083
21131,24,4,246,0.1667
21132,24,4,91,0.1667
21133,24,15,410,0.6250
21134,24,13,377,0.5417
21135,24,0,5943,0.0000
21136,24,0,10415,0.0000
21137,24,0,17165,0.0000
21143,24,9,2088,0.3750
21144,24,13,543,0.5417
21145,24,9,869,0.3750
21146,24,18,789,0.7500
21147,24,9,470,0.3750
21153,24,14,393,0.5833
21154,24,0,7969,0.0000
21155,24,1,6614,0.0417
21156,24,0,9008,0.0000
21157,24,4,689,0.1667
21158,24,0,2550,0.0000
21159,24,0,2073,0.0000
21160,24,14,794,0.5833
21161,24,5,2360,0.2083
21162,24,0,2338,0.0000
21163,24,1,2800,0.0417
21164,24,0,5916,0.0000
21165,24,0,9230,0.0000
21166,24,0,19064,0.0000
21167,24,0,2199,0.0000
21169,24,1,8602,0.0417
21171,24,3,1845,0.1250
21172,24,1,7595,0.0417
21173,24,19,340,0.7917
21174,24,0,9375,0.0000
21175,24,0,20398,0.0000
21179,24,2,4284,0.0833
21181,24,3,24021,0.1250
21185,24,18,132,0.7500
21186,24,11,5272,0.4583
21187,24,4,1344,0.1667
21188,24,3,912,0.1250
21189,24,0,728,0.0000
21190,24,8,806,0.3333
21191,24,0,1435,0.0000
21192,24,1,2167,0.0417
21193,24,19,111,0.7917
21194,24,1,543,0.0417
21195,24,6,997,0.2500
21196,22,6,166,0.2727
21197,21,2,441,0.0952
21198,24,0,1270,0.0000
21199,24,1,1293,0.0417
21200,24,0,1415,0.0000
21201,24,0,2722,0.0000
21202,24,2,854,0.0833
21203,24,15,1539,0.6250
21204,24,0,1593,0.0000
21205,24,0,668,0.0000
21206,24,0,2155,0.0000
21207,24,0,3587,0.0000
21208,24,0,1040,0.0000
21209,24,0,1435,0.0000
21210,24,0,15059,0.0000
21211,24,0,2405,0.0000
21212,24,0,94425,0.0000
21213,24,0,40121,0.0000
21214,24,14,2006,0.5833
21215,24,0,4347,0.0000
21216,24,1,3841,0.0417
21217,24,0,2862,0.0000
21218,24,0,5214,0.0000
21219,24,0,1008,0.0000
21220,24,0,647,0.0000
21221,24,0,533,0.0000
21222,24,0,614,0.0000
21223,24,19,492,0.7917
21224,24,0,2150,0.0000
21225,24,23,2,0.9583
21226,24,8,213,0.3333
21228,24,11,97,0.4583
21231,24,1,19272,0.0417
21232,24,0,37427,0.0000
21238,24,0,9415,0.0000
21239,24,0,7330,0.0000
21240,24,0,7546,0.0000
21241,24,13,2213,0.5417
21242,24,0,6947,0.0000
21243,24,0,5601,0.0000
21244,24,0,5043,0.0000
21245,24,0,2454,0.0000
21246,24,2,749,0.0833
21247,24,13,422,0.5417
21248,24,0,1029,0.0000
21249,24,0,1652,0.0000
21250,24,2,402,0.0833
21251,24,0,595,0.0000
21252,24,22,168,0.9167
21253,24,0,329,0.0000
21255,24,19,476,0.7917
21256,24,21,326,0.8750
21257,24,0,1508,0.0000
21258,24,5,1461,0.2083
21259,24,0,2246,0.0000
21260,24,0,3499,0.0000
21261,24,10,282,0.4167
21262,24,7,595,0.2917
21263,15,6,288,0.4000
21264,24,10,376,0.4167
21265,24,10,303,0.4167
21266,24,23,23,0.9583
21267,24,23,24,0.9583
21268,24,13,397,0.5417
21269,24,2,114,0.0833
21270,24,7,75,0.2917
21272,24,3,2348,0.1250
21274,24,12,175,0.5000
21275,24,7,249,0.2917
21276,24,20,677,0.8333
21277,24,2,54,0.0833
21278,24,8,2758,0.3333
21279,24,4,3526,0.1667
21280,24,4,3333,0.1667
21281,24,8,3680,0.3333
21282,24,12,356,0.5000
21283,24,12,512,0.5000
21284,24,0,1375,0.0000
21285,24,4,778,0.1667
21286,24,6,848,0.2500
21287,24,2,4092,0.0833
21288,24,0,972,0.0000
21289,24,1,1412,0.0417
21290,24,23,2,0.9583
21291,24,0,2411,0.0000
21292,24,5,2353,0.2083
21293,24,4,342,0.1667
21294,24,1,2246,0.0417
21298,24,21,52,0.8750
21299,24,20,166,0.8333
21300,24,21,53,0.8750
21303,24,20,96,0.8333
21304,24,19,86,0.7917
21306,24,5,678,0.2083
21307,24,6,749,0.2500
21308,24,22,132,0.9167
21309,24,21,49,0.8750
21310,21,18,6,0.8571
21311,24,2,699,0.0833
21312,24,15,299,0.6250
21313,24,0,6649,0.0000
21314,24,0,11200,0.0000
21316,24,9,693,0.3750
21317,24,3,345,0.1250
21318,24,7,972,0.2917
21319,24,7,508,0.2917
21320,24,8,398,0.3333
21321,24,19,122,0.7917
21322,24,22,301,0.9167
21323,24,16,740,0.6667
21324,24,6,1014,0.2500
21326,24,0,17170,0.0000
21327,24,0,1897,0.0000
21328,24,0,2419,0.0000
21329,24,0,2050,0.0000
21330,24,14,1452,0.5833
21331,24,9,110,0.3750
21332,24,7,270,0.2917
21333,24,7,1057,0.2917
21335,24,18,42,0.7500
21336,24,10,1823,0.4167
21337,24,20,33,0.8333
21338,24,19,199,0.7917
21339,24,17,30,0.7083
21340,24,3,1743,0.1250
21341,24,19,72,0.7917
21343,24,22,20,0.9167
21344,24,10,163,0.4167
21347,24,21,8,0.8750
21348,24,10,842,0.4167
21349,24,13,553,0.5417
21350,24,18,225,0.7500
21351,24,12,1092,0.5000
21352,24,9,880,0.3750
21353,24,23,19,0.9583
21354,24,1,2452,0.0417
21355,24,1,3449,0.0417
21356,24,0,1525,0.0000
21357,24,9,1388,0.3750
21358,24,0,1120,0.0000
21359,24,5,208,0.2083
21360,24,5,441,0.2083
21361,22,4,556,0.1818
21363,23,2,984,0.0870
21364,24,2,468,0.0833
21365,24,4,417,0.1667
21366,24,2,235,0.0833
21367,24,5,198,0.2083
21368,24,4,189,0.1667
21369,24,8,121,0.3333
21370,24,13,47,0.5417
21371,24,2,366,0.0833
21372,24,8,156,0.3333
21373,24,12,563,0.5000
21374,24,5,434,0.2083
21375,24,1,131,0.0417
21376,24,3,181,0.1250
21377,24,1,493,0.0417
21378,24,1,525,0.0417
21379,24,0,614,0.0000
21380,24,0,5025,0.0000
21381,24,0,5094,0.0000
21382,19,1,1235,0.0526
21383,24,0,2186,0.0000
21384,24,18,1917,0.7500
21385,24,1,10787,0.0417
21386,23,3,1072,0.1304
21387,22,20,25,0.9091
21388,24,20,311,0.8333
21389,24,0,2285,0.0000
21390,24,0,10892,0.0000
21391,24,0,1417,0.0000
21392,24,9,7545,0.3750
21393,23,11,5244,0.4783
21394,23,2,4005,0.0870
21395,24,5,2968,0.2083
21396,24,18,948,0.7500
21397,24,6,2157,0.2500
21398,24,7,2295,0.2917
21399,24,6,2378,0.2500
21400,24,3,1070,0.1250
21401,24,0,1401,0.0000
21402,24,0,1693,0.0000
21403,24,1,2313,0.0417
21406,24,23,1,0.9583
21407,24,0,1294,0.0000
21408,24,0,597,0.0000
21409,23,22,1,0.9565
21410,24,11,312,0.4583
21411,24,0,1789,0.0000
21412,24,16,275,0.6667
21413,24,8,3162,0.3333
21414,24,12,1637,0.5000
21415,24,0,311,0.0000
21416,24,11,751,0.4583
21417,24,0,359,0.0000
21418,24,2,174,0.0833
21419,24,17,1259,0.7083
21420,23,4,92,0.1739
21421,24,6,1792,0.2500
21422,24,0,3160,0.0000
21424,24,1,955,0.0417
21425,24,2,499,0.0833
21426,24,1,1027,0.0417
21427,24,2,501,0.0833
21428,24,3,2863,0.1250
21429,24,2,6256,0.0833
21430,24,5,4581,0.2083
21431,24,12,1483,0.5000
21432,24,12,942,0.5000
21437,24,20,677,0.8333
21438,24,20,373,0.8333
21439,24,0,2239,0.0000
21440,24,16,472,0.6667
21441,24,1,788,0.0417
21442,24,0,833,0.0000
21443,24,20,257,0.8333
21444,24,19,291,0.7917
21445,24,6,1519,0.2500
21446,24,0,1246,0.0000
21447,24,2,2776,0.0833
21448,24,1,955,0.0417
21450,24,23,13,0.9583
21452,21,0,1849,0.0000
21454,23,2,930,0.0870
21455,23,1,895,0.0435
21456,24,14,726,0.5833
21457,24,13,685,0.5417
21458,24,12,768,0.5000
21459,23,15,263,0.6522
21460,23,16,113,0.6957
21461,23,15,82,0.6522
21462,24,1,322,0.0417
21463,24,0,1326,0.0000
21464,24,0,536,0.0000
21465,24,0,787,0.0000
21466,24,0,918,0.0000
21467,24,0,1023,0.0000
21468,24,1,669,0.0417
21469,24,0,1158,0.0000
21470,24,0,1093,0.0000
21471,24,0,1393,0.0000
21472,24,6,1056,0.2500
21473,24,2,157,0.0833
21474,23,14,210,0.6087
21475,24,23,1,0.9583
21476,23,4,142,0.1739
21477,24,20,273,0.8333
21478,24,13,204,0.5417
21479,24,8,5897,0.3333
21480,24,23,285,0.9583
21481,24,0,7985,0.0000
21482,24,14,740,0.5833
21484,24,0,4473,0.0000
21485,24,0,7425,0.0000
21486,24,11,1116,0.4583
21488,24,11,2384,0.4583
21489,24,22,28,0.9167
21490,24,22,637,0.9167
21491,24,15,2878,0.6250
21493,24,22,272,0.9167
21494,24,0,3721,0.0000
21495,24,0,12315,0.0000
21496,24,23,25,0.9583
21497,24,0,17075,0.0000
21498,24,0,26351,0.0000
21499,24,0,14952,0.0000
21500,24,0,15825,0.0000
21503,24,4,1801,0.1667
21504,24,0,4841,0.0000
21506,24,0,10511,0.0000
21507,24,0,8107,0.0000
21508,24,0,6652,0.0000
21509,24,0,8605,0.0000
21511,20,18,40,0.9000
21518,24,5,1107,0.2083
21519,24,0,7319,0.0000
21520,24,1,956,0.0417
21523,24,0,6864,0.0000
21524,24,0,5216,0.0000
21525,24,23,2,0.9583
21527,24,6,3345,0.2500
21528,24,0,898,0.0000
21529,24,14,503,0.5833
21530,24,0,955,0.0000
21531,24,0,4063,0.0000
21532,24,13,1387,0.5417
21533,24,0,3314,0.0000
21534,24,0,929,0.0000
21535,24,0,6748,0.0000
21536,24,20,221,0.8333
21537,24,0,993,0.0000
21538,24,12,1308,0.5000
21539,24,0,2723,0.0000
21540,24,14,1323,0.5833
21541,24,12,1907,0.5000
21542,24,14,1877,0.5833
21543,24,23,284,0.9583
21544,24,0,5949,0.0000
21545,24,16,697,0.6667
21547,24,9,719,0.3750
21548,24,12,682,0.5000
21549,24,19,547,0.7917
21550,24,18,295,0.7500
21551,24,22,169,0.9167
21552,24,20,165,0.8333
21553,24,20,90,0.8333
21554,24,22,167,0.9167
21555,24,0,421,0.0000
21556,24,3,1607,0.1250
21557,24,0,921,0.0000
21558,24,2,4192,0.0833
21559,24,0,8185,0.0000
21560,24,23,4,0.9583
21561,24,0,2954,0.0000
21562,23,1,678,0.0435
21563,24,0,2173,0.0000
21564,24,0,1354,0.0000
21576,24,1,719,0.0417
21577,24,0,2545,0.0000
21578,24,0,2204,0.0000
21579,24,1,1011,0.0417
21580,24,1,541,0.0417
21581,24,0,1171,0.0000
21582,24,22,117,0.9167
21584,24,0,3725,0.0000
21585,16,15,1,0.9375
21586,24,1,2583,0.0417
21587,24,10,2071,0.4167
21588,24,0,3124,0.0000
21589,24,17,1119,0.7083
21590,24,12,3448,0.5000
21591,24,1,3917,0.0417
21592,24,0,5315,0.0000
21593,24,18,1391,0.7500
21594,24,19,5,0.7917
21595,24,20,9,0.8333
21596,24,20,10,0.8333
21609,24,3,1499,0.1250
21610,24,12,542,0.5000
21611,24,13,750,0.5417
21612,24,14,698,0.5833
21613,24,2,632,0.0833
21614,24,9,1627,0.3750
21615,24,1,1144,0.0417
21616,24,1,1094,0.0417
21617,24,1,834,0.0417
21618,24,1,698,0.0417
21619,24,1,1062,0.0417
21620,24,1,937,0.0417
21621,24,0,6868,0.0000
21622,24,0,3695,0.0000
21623,22,0,6097,0.0000
21624,24,0,1761,0.0000
21625,24,0,977,0.0000
21626,24,0,1496,0.0000
21627,24,1,195,0.0417
21628,24,3,163,0.1250
21629,24,0,175,0.0000
21630,24,1,161,0.0417
21631,24,6,221,0.2500
21632,24,12,132,0.5000
21633,24,5,175,0.2083
21634,24,3,1771,0.1250
