stock_code,selling_months,first_month,last_month,span_months,units
17014D,6,2010-01,2010-08,8,479
17014E,4,2010-05,2010-08,4,95
17014F,3,2010-01,2010-08,8,61
17021,24,2010-01,2011-12,24,3720
17027A,2,2010-02,2010-03,2,228
17028J,1,2011-01,2011-01,1,6
17033,10,2009-12,2010-10,11,3280
17038,22,2009-12,2011-12,25,2559
17039,9,2009-12,2010-08,9,3707
17061,1,2009-12,2009-12,1,52
17084A,13,2010-02,2011-09,20,442
17084G,1,2009-12,2009-12,1,50
17084J,15,2009-12,2011-09,22,456
17084N,25,2009-12,2011-12,25,2768
17084P,20,2009-12,2011-12,25,990
17084R,22,2009-12,2011-12,25,10625
17090A,16,2009-12,2011-11,24,173
17090D,16,2009-12,2011-07,20,88
17091A,18,2009-12,2011-05,18,2085
17091B,10,2009-12,2010-09,10,276
17091F,2,2009-12,2010-01,2,19
17091J,25,2009-12,2011-12,25,3964
17096,20,2009-12,2011-07,20,6240
17107D,24,2009-12,2011-12,25,315
17108D,4,2009-12,2010-03,4,355
17109A,4,2009-12,2010-03,4,709
17109B,4,2009-12,2010-03,4,4542
17109C,4,2009-12,2010-03,4,3124
17109D,14,2009-12,2011-04,17,1257
17129C,5,2009-12,2010-05,6,86
17129D,4,2009-12,2010-03,4,1125
17129F,25,2009-12,2011-12,25,1580
17136A,19,2009-12,2011-11,24,743
17164B,14,2009-12,2011-01,14,1620
17164D,4,2009-12,2010-03,4,1150
17165B,11,2009-12,2010-10,11,810
17165D,14,2009-12,2011-01,14,716
17174,5,2010-02,2011-11,22,36
17178,10,2009-12,2010-09,10,133
17181,9,2009-12,2010-08,9,353
17191A,9,2009-12,2011-12,25,33
18007,19,2009-12,2011-07,20,11396
18010,2,2009-12,2010-01,2,64
18094C,23,2009-12,2011-10,23,433
18096C,3,2009-12,2010-02,3,125
18097A,7,2010-03,2011-06,16,17
18097B,2,2009-12,2010-01,2,7
18097C,25,2009-12,2011-12,25,1763
18098A,1,2009-12,2009-12,1,2
18098B,2,2009-12,2010-02,3,3
18098C,20,2009-12,2011-08,21,1515
20615,25,2009-12,2011-12,25,637
20616,25,2009-12,2011-12,25,283
20617,23,2009-12,2011-12,25,498
20618,24,2009-12,2011-12,25,297
20619,25,2009-12,2011-12,25,578
20620,3,2009-12,2010-02,3,15
20621,10,2009-12,2010-09,10,207
20622,25,2009-12,2011-12,25,582
20652,25,2009-12,2011-12,25,1516
20653,22,2009-12,2011-12,25,2004
20654,25,2009-12,2011-12,25,398
20655,24,2009-12,2011-12,25,414
20657,24,2009-12,2011-11,24,1877
20658,22,2009-12,2011-09,22,1584
20659,24,2009-12,2011-12,25,369
20660,7,2009-12,2010-08,9,71
20661,20,2009-12,2011-12,25,898
20662,17,2009-12,2011-10,23,728
20663,19,2009-12,2011-10,23,1074
20664,12,2009-12,2011-08,21,57
20665,25,2009-12,2011-12,25,1335
20666,15,2009-12,2011-07,20,911
20667,10,2009-12,2011-08,21,40
20668,25,2009-12,2011-12,25,20951
20669,23,2009-12,2011-12,25,797
20670,19,2009-12,2011-11,24,694
20671,13,2009-12,2010-12,13,786
20672,4,2009-12,2010-03,4,138
20673,1,2009-12,2009-12,1,5
20674,25,2009-12,2011-12,25,3412
20675,25,2009-12,2011-12,25,6465
20676,25,2009-12,2011-12,25,10475
20677,25,2009-12,2011-12,25,7774
20678,1,2011-09,2011-09,1,4
20679,25,2009-12,2011-12,25,6149
20680,2,2009-12,2010-01,2,6
20681,16,2009-12,2011-03,16,1405
20682,25,2009-12,2011-12,25,3068
20683,1,2009-12,2009-12,1,1
20684,20,2009-12,2011-07,20,580
20685,25,2009-12,2011-12,25,9783
20686,25,2009-12,2011-12,25,590
20688,3,2009-12,2010-03,4,464
20689,8,2009-12,2010-07,8,429
20692,9,2009-12,2010-09,10,908
20693,4,2009-12,2010-03,4,33
20694,20,2009-12,2011-11,24,166
20695,16,2009-12,2011-11,24,142
20696,21,2009-12,2011-11,24,151
20697,13,2009-12,2011-11,24,40
20698,12,2010-01,2011-11,23,47
20699,20,2009-12,2011-12,25,294
20700,20,2009-12,2011-09,22,420
20701,9,2009-12,2011-06,19,353
20702,22,2009-12,2011-10,23,782
20703,13,2009-12,2011-04,17,471
20704,23,2009-12,2011-12,25,361
20705,23,2009-12,2011-12,25,273
20707,25,2009-12,2011-12,25,1613
20711,25,2009-12,2011-12,25,12643
20712,25,2009-12,2011-12,25,17710
20713,23,2009-12,2011-12,25,20814
20714,2,2009-12,2010-01,2,1580
20715,1,2010-01,2010-01,1,400
20716,19,2009-12,2011-06,19,1533
20717,25,2009-12,2011-12,25,6296
20718,25,2009-12,2011-12,25,13353
20719,25,2009-12,2011-12,25,24479
20721,1,2009-12,2009-12,1,1
20723,25,2009-12,2011-12,25,18296
20724,25,2009-12,2011-12,25,32197
20725,25,2009-12,2011-12,25,40317
20726,25,2009-12,2011-12,25,22118
20727,25,2009-12,2011-12,25,26678
20728,25,2009-12,2011-12,25,24596
20729,7,2009-12,2010-06,7,5262
20730,9,2009-12,2010-09,10,2218
20731,18,2009-12,2011-06,19,4142
20733,24,2009-12,2011-12,25,1927
20734,17,2009-12,2011-04,17,1592
20735,24,2009-12,2011-12,25,1515
20736,4,2009-12,2010-03,4,290
20737,1,2009-12,2009-12,1,1
20738,12,2009-12,2010-11,12,1610
20739,1,2009-12,2009-12,1,1
20747,6,2009-12,2010-05,6,683
20748,23,2009-12,2011-11,24,1600
20749,25,2009-12,2011-12,25,3062
20750,25,2009-12,2011-12,25,3688
20751,25,2009-12,2011-12,25,2839
20752,24,2009-12,2011-11,24,1500
20753,2,2009-12,2010-01,2,218
20754,24,2009-12,2011-11,24,5094
20755,21,2009-12,2011-12,25,5145
20756,16,2009-12,2011-11,24,5728
20757,22,2009-12,2011-11,24,5347
20758,24,2009-12,2011-12,25,5425
20759,23,2009-12,2011-12,25,5777
20760,20,2009-12,2011-11,24,5550
20761,25,2009-12,2011-12,25,458
20762,24,2009-12,2011-12,25,458
20763,23,2009-12,2011-12,25,267
20764,25,2009-12,2011-12,25,685
20765,25,2009-12,2011-12,25,442
20766,25,2009-12,2011-12,25,518
20767,25,2009-12,2011-12,25,812
20768,25,2009-12,2011-12,25,767
20769,21,2009-12,2011-12,25,438
20770,24,2009-12,2011-11,24,1045
20771,23,2009-12,2011-12,25,606
20772,24,2009-12,2011-12,25,970
20773,22,2009-12,2011-09,22,3339
20774,23,2009-12,2011-10,23,3484
20775,22,2009-12,2011-12,25,3604
20776,10,2009-12,2010-09,10,3258
20777,24,2009-12,2011-12,25,3660
20778,16,2009-12,2011-04,17,3611
20780,19,2009-12,2011-12,25,231
20781,22,2009-12,2011-12,25,103
20782,19,2009-12,2011-12,25,155
20783,8,2009-12,2010-08,9,165
20784,8,2009-12,2010-10,11,101
20785,14,2010-01,2011-04,16,102
20786,9,2010-01,2010-10,10,99
20787,8,2010-01,2010-09,9,69
20791,1,2010-01,2010-01,1,5
20793,14,2009-12,2011-09,22,281
20794,22,2010-01,2011-12,24,212
20795,15,2009-12,2011-12,25,135
20796,15,2009-12,2011-11,24,99
20798,14,2009-12,2011-01,14,551
20799,6,2009-12,2010-06,7,200
20800,3,2010-01,2010-03,3,1005
20801,17,2010-01,2011-05,17,1092
20802,24,2009-12,2011-11,24,1051
20803,18,2009-12,2011-05,18,1149
20804,6,2009-12,2010-07,8,325
20812,2,2009-12,2010-01,2,5
20814,3,2009-12,2010-02,3,189
20816,6,2010-02,2011-04,15,24
20818,13,2009-12,2011-05,18,87
20819,21,2009-12,2011-11,24,228
20820,8,2009-12,2011-03,16,11
20821,15,2009-12,2011-11,24,42
20822,1,2010-02,2010-02,1,2
20823,8,2009-12,2011-06,19,253
20825,5,2009-12,2010-11,12,361
20826,8,2009-12,2011-05,18,355
20827,5,2009-12,2011-04,17,173
20828,25,2009-12,2011-12,25,4423
20829,25,2009-12,2011-12,25,4820
20830,20,2009-12,2011-10,23,407
20831,24,2009-12,2011-12,25,474
20832,23,2009-12,2011-12,25,1681
20833,3,2009-12,2010-03,4,52
20835,6,2010-03,2011-11,21,80
20836,10,2010-03,2011-11,21,224
20837,9,2009-12,2011-11,24,165
20838,14,2010-02,2011-12,23,446
20839,21,2009-12,2011-12,25,633
20840,19,2009-12,2011-12,25,885
20845,11,2009-12,2011-08,21,76
20846,25,2009-12,2011-12,25,1453
20847,17,2009-12,2011-11,24,80
20848,11,2009-12,2011-11,24,39
20849,10,2009-12,2010-11,12,674
20850,8,2010-01,2010-11,11,820
20851,15,2009-12,2011-04,17,335
20854,15,2009-12,2011-02,15,441
20855,9,2009-12,2010-09,10,142
20856,21,2009-12,2011-08,21,408
20857,15,2009-12,2011-02,15,249
20858,1,2009-12,2009-12,1,4
20860,7,2010-04,2010-12,9,20
20861,8,2009-12,2010-12,13,46
20862,6,2009-12,2010-06,7,325
20863,9,2009-12,2010-08,9,293
20864,9,2009-12,2010-10,11,252
20865,7,2009-12,2010-06,7,251
20866,24,2009-12,2011-12,25,1280
20867,23,2009-12,2011-12,25,1098
20868,20,2009-12,2011-12,25,882
20869,19,2009-12,2011-12,25,529
20870,1,2009-12,2009-12,1,29
20871,13,2009-12,2010-12,13,1273
20877,1,2009-12,2009-12,1,12
20878,6,2009-12,2010-12,13,737
20879,1,2009-12,2009-12,1,57
20881,1,2009-12,2009-12,1,3
20882,1,2009-12,2009-12,1,3
20884,1,2009-12,2009-12,1,3
20885,1,2009-12,2009-12,1,1
20886,24,2009-12,2011-11,24,1777
20887,1,2009-12,2009-12,1,18
20888,4,2009-12,2010-03,4,367
20889,4,2009-12,2010-03,4,657
20890,4,2010-01,2010-04,4,605
20891,2,2010-01,2010-04,4,684
20892,13,2009-12,2010-12,13,102
20893,22,2009-12,2011-12,25,559
20894,20,2009-12,2011-12,25,267
20895,3,2009-12,2010-02,3,16
20896,6,2009-12,2010-08,9,39
20897,19,2009-12,2011-08,21,351
20898,16,2009-12,2011-10,23,327
20899,5,2009-12,2010-05,6,44
20901,11,2009-12,2011-11,24,91
20902,20,2009-12,2011-08,21,206
20903,22,2009-12,2011-10,23,187
20905,2,2009-12,2010-01,2,10
20906,14,2009-12,2011-04,17,101
20910,13,2009-12,2010-12,13,106
20913,2,2009-12,2010-01,2,314
20914,25,2009-12,2011-12,25,18670
20931,24,2009-12,2011-12,25,673
20932,23,2009-12,2011-12,25,333
20933,16,2009-12,2011-12,25,505
20934,17,2009-12,2011-11,24,197
20935,13,2009-12,2011-11,24,300
20936,21,2009-12,2011-12,25,333
20939,1,2009-12,2009-12,1,12
20940,1,2009-12,2009-12,1,118
20941,20,2009-12,2011-07,20,998
20942,1,2009-12,2009-12,1,6
20943,8,2009-12,2010-10,11,381
20950,7,2009-12,2010-11,12,687
20952,9,2009-12,2010-11,12,329
20953,4,2010-03,2010-11,9,33
20954,2,2009-12,2010-12,13,3
20956,24,2009-12,2011-12,25,2338
20957,7,2010-04,2010-11,8,126
20958,7,2010-03,2010-11,9,38
20960,15,2009-12,2011-03,16,1900
20961,25,2009-12,2011-12,25,3530
20963,25,2009-12,2011-12,25,3459
20964,5,2009-12,2011-05,18,20
20966,21,2009-12,2011-08,21,3007
20967,19,2009-12,2011-10,23,1055
20968,2,2009-12,2010-01,2,43
20969,25,2009-12,2011-12,25,3237
20970,25,2009-12,2011-12,25,2490
20971,25,2009-12,2011-12,25,22260
20972,25,2009-12,2011-12,25,20496
20973,21,2010-03,2011-12,22,9863
20974,25,2009-12,2011-12,25,13219
20975,23,2009-12,2011-12,25,18099
20976,10,2009-12,2010-10,11,549
20977,24,2009-12,2011-11,24,3792
20978,25,2009-12,2011-12,25,4117
20979,25,2009-12,2011-12,25,8156
20980,16,2009-12,2011-08,21,233
20981,25,2009-12,2011-12,25,4718
20982,25,2009-12,2011-12,25,4851
20983,25,2009-12,2011-12,25,6280
20984,23,2009-12,2011-10,23,5867
20985,25,2009-12,2011-12,25,2370
20986,25,2009-12,2011-12,25,1217
20987,1,2009-12,2009-12,1,131
20988,3,2009-12,2010-02,3,24
20989,4,2009-12,2010-03,4,407
20990,7,2009-12,2010-06,7,895
20991,3,2009-12,2010-02,3,7084
20992,25,2009-12,2011-12,25,6151
20993,4,2009-12,2010-03,4,10967
20994,2,2009-12,2010-01,2,47
20996,25,2009-12,2011-12,25,6311
20997,19,2009-12,2011-12,25,170
20998,22,2009-12,2011-10,23,324
21000,24,2009-12,2011-12,25,690
21001,25,2009-12,2011-12,25,141
21002,20,2009-12,2011-10,23,417
21003,14,2010-03,2011-12,22,109
21004,12,2009-12,2010-11,12,137
21007,9,2009-12,2010-09,10,1927
21008,1,2010-02,2010-02,1,1
21009,9,2009-12,2010-12,13,1047
21010,8,2009-12,2010-10,11,850
21011,8,2009-12,2010-12,13,1840
21012,25,2009-12,2011-12,25,2297
21014,16,2009-12,2011-11,24,1850
21015,17,2009-12,2011-12,25,1700
21016,8,2009-12,2010-11,12,834
21017,10,2009-12,2010-11,12,659
21018,7,2009-12,2010-12,13,213
21025,20,2009-12,2011-12,25,300
21026,20,2009-12,2011-12,25,549
21027,21,2009-12,2011-11,24,355
21028,24,2009-12,2011-12,25,323
21030,18,2009-12,2011-11,24,239
21031,16,2009-12,2011-11,24,144
21032,18,2009-12,2011-11,24,203
21033,22,2009-12,2011-09,22,4590
21034,25,2009-12,2011-12,25,4002
21035,25,2009-12,2011-12,25,5994
21036,1,2009-12,2009-12,1,1
21038,16,2009-12,2011-05,18,166
21039,25,2009-12,2011-12,25,1313
21040,13,2009-12,2011-03,16,894
21041,20,2009-12,2011-11,24,2666
21042,25,2009-12,2011-12,25,1473
21043,18,2009-12,2011-06,19,677
21051,21,2009-12,2011-12,25,754
21054,20,2009-12,2011-11,24,382
21055,25,2009-12,2011-12,25,386
21056,25,2009-12,2011-12,25,545
21058,25,2009-12,2011-12,25,2396
21059,25,2009-12,2011-12,25,1596
21060,25,2009-12,2011-12,25,1276
21061,25,2009-12,2011-12,25,1396
21062,25,2009-12,2011-12,25,1053
21063,25,2009-12,2011-12,25,1456
21064,25,2009-12,2011-12,25,884
21065,23,2009-12,2011-12,25,608
21066,25,2009-12,2011-12,25,2284
21067,22,2009-12,2011-10,23,4763
21068,25,2009-12,2011-12,25,4066
21069,21,2009-12,2011-08,21,5099
21070,25,2009-12,2011-12,25,2034
21071,23,2009-12,2011-10,23,4269
21076,4,2009-12,2010-03,4,843
21077,10,2009-12,2010-09,10,2790
21078,23,2009-12,2011-10,23,7211
21080,25,2009-12,2011-12,25,31076
21081,2,2009-12,2010-01,2,4
21082,18,2009-12,2011-06,19,7183
21084,24,2009-12,2011-12,25,2929
21085,8,2009-12,2010-07,8,13731
21086,24,2009-12,2011-12,25,16658
21087,12,2010-01,2011-04,16,260
21088,22,2009-12,2011-12,25,16615
21089,16,2010-01,2011-08,20,323
21090,24,2009-12,2011-12,25,3107
21091,4,2009-12,2010-03,4,13700
21092,4,2009-12,2010-03,4,12846
21094,25,2009-12,2011-12,25,19633
21095,17,2009-12,2011-06,19,295
21096,21,2009-12,2011-12,25,15919
21097,4,2010-01,2010-06,6,32
21098,16,2009-12,2011-12,25,8537
21099,6,2009-12,2010-05,6,13290
21100,16,2009-12,2011-03,16,2540
21102,4,2009-12,2010-03,4,82
21106,25,2009-12,2011-12,25,790
21107,25,2009-12,2011-12,25,2302
21108,25,2009-12,2011-12,25,12962
21109,25,2009-12,2011-12,25,1173
21110,23,2009-12,2011-11,24,1640
21111,24,2009-12,2011-12,25,1379
21112,24,2009-12,2011-12,25,2222
21114,25,2009-12,2011-12,25,5666
21115,25,2009-12,2011-12,25,1247
21116,25,2009-12,2011-12,25,1355
21117,17,2009-12,2011-11,24,328
21118,2,2009-12,2010-01,2,69
21119,3,2009-12,2010-09,10,3
21120,1,2010-12,2010-12,1,1
21121,25,2009-12,2011-12,25,15215
21122,25,2009-12,2011-12,25,12209
21123,25,2009-12,2011-12,25,2751
21124,25,2009-12,2011-12,25,10029
21125,25,2009-12,2011-12,25,2123
21126,25,2009-12,2011-12,25,2325
21127,7,2009-12,2010-06,7,297
21128,24,2009-12,2011-12,25,126
21129,21,2009-12,2011-11,24,124
21130,7,2009-12,2010-06,7,721
21131,21,2009-12,2011-12,25,276
21132,21,2009-12,2011-12,25,93
21133,9,2009-12,2010-09,10,410
21134,11,2009-12,2010-11,12,377
21135,25,2009-12,2011-12,25,5985
21136,25,2009-12,2011-12,25,10496
21137,25,2009-12,2011-12,25,18739
21143,15,2009-12,2011-08,21,2088
21144,11,2009-12,2010-12,13,543
21145,15,2009-12,2011-11,24,869
21146,6,2009-12,2010-11,12,789
21147,16,2009-12,2011-12,25,477
21153,10,2009-12,2010-09,10,393
21154,25,2009-12,2011-12,25,8095
21155,24,2009-12,2011-12,25,6665
21156,25,2009-12,2011-12,25,9137
21157,20,2009-12,2011-10,23,689
21158,25,2009-12,2011-12,25,2587
21159,25,2009-12,2011-12,25,2105
21160,10,2009-12,2010-12,13,794
21161,19,2009-12,2011-06,19,2360
21162,25,2009-12,2011-12,25,2402
21163,23,2009-12,2011-10,23,2800
21164,25,2009-12,2011-12,25,5981
21165,25,2009-12,2011-12,25,9360
21166,25,2009-12,2011-12,25,19932
21167,25,2009-12,2011-12,25,2440
21169,24,2009-12,2011-12,25,8856
21171,21,2009-12,2011-08,21,1845
21172,24,2009-12,2011-12,25,7685
21173,5,2009-12,2010-04,5,340
21174,25,2009-12,2011-12,25,9696
21175,25,2009-12,2011-12,25,20676
21179,22,2009-12,2011-09,22,4284
21181,22,2009-12,2011-12,25,24732
21185,6,2009-12,2010-07,8,132
21186,13,2009-12,2010-12,13,5272
21187,20,2009-12,2011-08,21,1344
21188,21,2009-12,2011-08,21,912
21189,25,2009-12,2011-12,25,797
21190,16,2009-12,2011-11,24,806
21191,25,2009-12,2011-12,25,1479
21192,23,2009-12,2011-11,24,2167
21193,5,2009-12,2010-04,5,111
21194,24,2009-12,2011-12,25,578
21195,18,2009-12,2011-05,18,997
21196,17,2010-02,2011-12,23,178
21197,20,2010-03,2011-12,22,453
21198,25,2009-12,2011-12,25,1282
21199,24,2009-12,2011-12,25,1305
21200,25,2009-12,2011-12,25,1421
21201,25,2009-12,2011-12,25,2741
21202,22,2009-12,2011-11,24,854
21203,9,2009-12,2010-08,9,1539
21204,25,2009-12,2011-12,25,1608
21205,25,2009-12,2011-12,25,669
21206,24,2009-12,2011-11,24,2155
21207,25,2009-12,2011-12,25,3601
21208,25,2009-12,2011-12,25,1078
21209,25,2009-12,2011-12,25,1476
21210,25,2009-12,2011-12,25,15118
21211,24,2009-12,2011-11,24,2405
21212,25,2009-12,2011-12,25,94884
21213,25,2009-12,2011-12,25,40263
21214,10,2009-12,2010-10,11,2006
21215,25,2009-12,2011-12,25,4349
21216,24,2009-12,2011-12,25,3884
21217,25,2009-12,2011-12,25,2904
21218,25,2009-12,2011-12,25,5256
21219,25,2009-12,2011-12,25,1013
21220,25,2009-12,2011-12,25,659
21221,25,2009-12,2011-12,25,535
21222,25,2009-12,2011-12,25,621
21223,5,2009-12,2010-04,5,492
21224,25,2009-12,2011-12,25,2171
21225,1,2009-12,2009-12,1,2
21226,16,2009-12,2011-11,24,213
21228,13,2009-12,2011-03,16,97
21231,24,2009-12,2011-12,25,19428
21232,25,2009-12,2011-12,25,37997
21238,25,2009-12,2011-12,25,9477
21239,25,2009-12,2011-12,25,7369
21240,25,2009-12,2011-12,25,7581
21241,11,2009-12,2010-10,11,2213
21242,25,2009-12,2011-12,25,7085
21243,25,2009-12,2011-12,25,5636
21244,25,2009-12,2011-12,25,5045
21245,25,2009-12,2011-12,25,2567
21246,22,2009-12,2011-09,22,749
21247,11,2009-12,2010-10,11,422
21248,25,2009-12,2011-12,25,1043
21249,25,2009-12,2011-12,25,1661
21250,22,2009-12,2011-11,24,402
21251,24,2009-12,2011-11,24,595
21252,2,2009-12,2010-01,2,168
21253,25,2009-12,2011-12,25,332
21255,5,2009-12,2010-04,5,476
21256,3,2009-12,2010-02,3,326
21257,25,2009-12,2011-12,25,1549
21258,20,2009-12,2011-12,25,1505
21259,25,2009-12,2011-12,25,2293
21260,25,2009-12,2011-12,25,3512
21261,15,2009-12,2011-12,25,283
21262,18,2009-12,2011-12,25,606
21263,10,2010-09,2011-12,16,299
21264,15,2009-12,2011-12,25,391
21265,15,2009-12,2011-12,25,321
21266,1,2009-12,2009-12,1,23
21267,1,2009-12,2009-12,1,24
21268,11,2009-12,2010-12,13,397
21269,22,2009-12,2011-11,24,114
21270,18,2009-12,2011-12,25,76
21272,21,2009-12,2011-08,21,2348
21274,12,2009-12,2010-11,12,175
21275,17,2009-12,2011-11,24,249
21276,4,2009-12,2010-04,5,677
21277,22,2009-12,2011-11,24,54
21278,16,2009-12,2011-07,20,2758
21279,21,2009-12,2011-12,25,3527
21280,20,2009-12,2011-11,24,3333
21281,16,2009-12,2011-11,24,3680
21282,12,2009-12,2010-11,12,356
21283,12,2009-12,2010-11,12,512
21284,25,2009-12,2011-12,25,1547
21285,21,2009-12,2011-12,25,1007
21286,19,2009-12,2011-12,25,1006
21287,23,2009-12,2011-12,25,4107
21288,25,2009-12,2011-12,25,982
21289,24,2009-12,2011-12,25,1413
21290,1,2009-12,2009-12,1,2
21291,24,2009-12,2011-11,24,2411
21292,20,2009-12,2011-12,25,2449
21293,21,2009-12,2011-12,25,343
21294,23,2009-12,2011-10,23,2246
21298,3,2009-12,2010-03,4,52
21299,4,2009-12,2010-03,4,166
21300,3,2009-12,2010-03,4,53
21303,4,2009-12,2010-03,4,96
21304,5,2009-12,2010-04,5,86
21306,20,2009-12,2011-12,25,681
21307,18,2009-12,2011-07,20,749
21308,2,2009-12,2010-01,2,132
21309,3,2009-12,2010-02,3,49
21310,3,2010-03,2011-05,15,6
21311,23,2009-12,2011-12,25,701
21312,9,2009-12,2010-09,10,299
21313,25,2009-12,2011-12,25,6711
21314,25,2009-12,2011-12,25,11426
21316,15,2009-12,2011-04,17,693
21317,22,2009-12,2011-12,25,357
21318,17,2009-12,2011-05,18,972
21319,17,2009-12,2011-04,17,508
21320,16,2009-12,2011-04,17,398
21321,5,2009-12,2010-04,5,122
21322,2,2009-12,2010-01,2,301
21323,8,2009-12,2010-07,8,740
21324,18,2009-12,2011-05,18,1014
21326,25,2009-12,2011-12,25,17770
21327,25,2009-12,2011-12,25,1926
21328,25,2009-12,2011-12,25,2441
21329,25,2009-12,2011-12,25,2082
21330,10,2009-12,2010-11,12,1452
21331,15,2009-12,2011-11,24,110
21332,17,2009-12,2011-08,21,270
