stock_code,description,forecast_origin,target_month,model,prediction,lag_1,rolling_mean_3,abc_class,is_active,status
15058A,BLUE POLKADOT GARDEN PARASOL,2011-11,2011-12,M2_gbm_poisson,9.140558,2,3.666667,B,True,Forecast
15058B,PINK POLKADOT GARDEN PARASOL,2011-11,2011-12,M2_gbm_poisson,8.677140,1,2.666667,B,True,Forecast
15058C,ICE CREAM DESIGN GARDEN PARASOL,2011-11,2011-12,M2_gbm_poisson,6.107861,1,2.000000,B,True,Forecast
15060B,FAIRY CAKE DESIGN UMBRELLA,2011-11,2011-12,M2_gbm_poisson,31.062746,19,40.000000,A,True,Forecast
16008,SMALL FOLDING SCISSOR(POINTED EDGE),2011-11,2011-12,M2_gbm_poisson,247.949697,941,517.000000,C,True,Forecast
16011,ANIMAL STICKERS,2011-11,2011-12,M2_gbm_poisson,129.952565,359,175.333333,C,True,Forecast
16012,FOOD/DRINK SPONGE STICKERS,2011-11,2011-12,M2_gbm_poisson,77.253342,168,64.000000,C,True,Forecast
16014,SMALL CHINESE STYLE SCISSOR,2011-11,2011-12,M2_gbm_poisson,737.426786,3606,1569.000000,A,True,Forecast
16015,MEDIUM CHINESE STYLE SCISSOR,2011-11,2011-12,M2_gbm_poisson,40.122294,30,16.666667,C,True,Forecast
16016,LARGE CHINESE STYLE SCISSOR,2011-11,2011-12,M2_gbm_poisson,63.185177,140,76.666667,B,True,Forecast
16020C,CLEAR STATIONERY BOX SET,2011-11,2011-12,M2_gbm_poisson,2.054573,0,0.000000,C,True,Forecast
16043,POP ART PUSH DOWN RUBBER,2011-11,2011-12,M2_gbm_poisson,3.515583,0,0.000000,C,True,Forecast
16045,POPART WOODEN PENCILS ASST,2011-11,2011-12,M2_gbm_poisson,463.819604,1000,1366.666667,C,True,Forecast
16046,TEATIME PEN CASE & PENS,2011-11,2011-12,M2_gbm_poisson,6.882817,1,1.333333,B,True,Forecast
16048,TEATIME ROUND PENCIL SHARPENER,2011-11,2011-12,M2_gbm_poisson,94.630598,126,160.333333,C,True,Forecast
16052,TEATIME PUSH DOWN RUBBER,2011-11,2011-12,M2_gbm_poisson,2.042813,0,0.000000,C,True,Forecast
16054,POPART RECT PENCIL SHARPENER ASST,2011-11,2011-12,M2_gbm_poisson,92.771793,330,231.333333,C,True,Forecast
16156L,"WRAP, CAROUSEL",2011-11,2011-12,M2_gbm_poisson,32.512159,25,25.000000,C,True,Forecast
16156S,WRAP PINK FAIRY CAKES,2011-11,2011-12,M2_gbm_poisson,188.600615,475,616.666667,A,True,Forecast
16161G,WRAP BAD HAIR DAY,2011-11,2011-12,M2_gbm_poisson,63.259885,125,116.666667,C,True,Forecast
16161P,WRAP ENGLISH ROSE,2011-11,2011-12,M2_gbm_poisson,221.592764,525,666.666667,A,True,Forecast
16161U,WRAP SUKI AND FRIENDS,2011-11,2011-12,M2_gbm_poisson,146.899182,300,491.666667,B,True,Forecast
16162L,THE KING GIFT BAG,2011-11,2011-12,M2_gbm_poisson,7.951494,0,3.333333,C,True,Forecast
16162M,THE KING GIFT BAG 25x24x12cm,2011-11,2011-12,M2_gbm_poisson,15.869600,4,6.000000,C,True,Forecast
16168M,FUNKY MONKEY GIFT BAG MEDIUM,2011-11,2011-12,M2_gbm_poisson,40.153269,35,19.333333,C,True,Forecast
16169E,WRAP 50'S  CHRISTMAS,2011-11,2011-12,M2_gbm_poisson,679.893606,1625,1254.000000,C,True,Forecast
16169K,WRAP FOLK ART,2011-11,2011-12,M2_gbm_poisson,9.673063,0,16.666667,C,True,Forecast
16169M,WRAP DAISY CARPET,2011-11,2011-12,M2_gbm_poisson,42.243701,50,50.000000,C,True,Forecast
16207A,PINK STRAWBERRY HANDBAG,2011-11,2011-12,M2_gbm_poisson,9.177725,1,2.333333,C,True,Forecast
16207B,PINK HEART RED HANDBAG,2011-11,2011-12,M2_gbm_poisson,3.559565,0,0.000000,C,True,Forecast
16216,LETTER SHAPE PENCIL SHARPENER,2011-11,2011-12,M2_gbm_poisson,201.824964,394,251.666667,C,True,Forecast
16218,CARTOON  PENCIL SHARPENERS,2011-11,2011-12,M2_gbm_poisson,223.386098,565,550.333333,C,True,Forecast
16219,HOUSE SHAPE PENCIL SHARPENER,2011-11,2011-12,M2_gbm_poisson,218.018566,265,424.666667,C,True,Forecast
16225,RATTLE SNAKE EGGS,2011-11,2011-12,M2_gbm_poisson,68.295838,112,79.333333,C,True,Forecast
16235,RECYCLED PENCIL WITH RABBIT ERASER,2011-11,2011-12,M2_gbm_poisson,136.644311,228,173.000000,B,True,Forecast
16236,KITTY PENCIL ERASERS,2011-11,2011-12,M2_gbm_poisson,118.159277,260,165.333333,C,True,Forecast
16237,SLEEPING CAT ERASERS,2011-11,2011-12,M2_gbm_poisson,355.185130,927,517.666667,B,True,Forecast
16238,PARTY TIME PENCIL ERASERS,2011-11,2011-12,M2_gbm_poisson,75.849315,176,121.333333,C,True,Forecast
16248B,BLUE HOLE PUNCH,2011-11,2011-12,M2_gbm_poisson,5.955761,0,3.000000,C,True,Forecast
16254,TRANSPARENT ACRYLIC TAPE DISPENSER,2011-11,2011-12,M2_gbm_poisson,18.541560,7,7.666667,C,True,Forecast
16258A,SWIRLY CIRCULAR RUBBERS IN BAG,2011-11,2011-12,M2_gbm_poisson,55.677787,37,42.000000,C,True,Forecast
16259,PIECE OF CAMO STATIONERY SET,2011-11,2011-12,M2_gbm_poisson,152.728767,20,166.666667,C,True,Forecast
17003,BROCADE RING PURSE,2011-11,2011-12,M2_gbm_poisson,725.934611,1071,1876.666667,A,True,Forecast
17007B,S/3 POT POURI CUSHIONS BLUE COLOURS,2011-11,2011-12,M2_gbm_poisson,2.114785,0,0.000000,C,True,Forecast
17012A,ORIGAMI VANILLA INCENSE/CANDLE SET,2011-11,2011-12,M2_gbm_poisson,34.524135,10,54.000000,C,True,Forecast
17012B,ORIGAMI JASMINE INCENSE/CANDLE SET,2011-11,2011-12,M2_gbm_poisson,33.625255,5,60.666667,C,True,Forecast
17012C,ORIGAMI LAVENDER INCENSE/CANDL SET,2011-11,2011-12,M2_gbm_poisson,63.384650,94,58.666667,C,True,Forecast
17012D,ORIGAMI ROSE INCENSE/CANDLE SET,2011-11,2011-12,M2_gbm_poisson,79.591090,165,98.000000,C,True,Forecast
17012F,ORIGAMI SANDLEWOOD INCENSE/CAND SET,2011-11,2011-12,M2_gbm_poisson,77.728377,162,81.333333,C,True,Forecast
17013D,ORIGAMI ROSE INCENSE IN TUBE,2011-11,2011-12,M2_gbm_poisson,2.082963,0,0.000000,C,True,Forecast
17014A,ORIGAMI VANILLA INCENSE CONES,2011-11,2011-12,M2_gbm_poisson,2.062682,0,0.000000,C,True,Forecast
17021,NAMASTE SWAGAT INCENSE,2011-11,2011-12,M2_gbm_poisson,62.558055,108,144.000000,C,True,Forecast
17038,PORCELAIN BUDAH INCENSE HOLDER,2011-11,2011-12,M2_gbm_poisson,78.599591,204,203.000000,C,True,Forecast
17084A,TRANQUILITY MASALA INCENSE,2011-11,2011-12,M2_gbm_poisson,9.077137,0,8.333333,C,True,Forecast
17084J,LOVE POTION MASALA INCENSE,2011-11,2011-12,M2_gbm_poisson,8.907193,0,8.333333,C,True,Forecast
17084N,FAIRY DREAMS INCENSE,2011-11,2011-12,M2_gbm_poisson,75.995214,162,163.333333,C,True,Forecast
17084P,DRAGONS BLOOD INCENSE,2011-11,2011-12,M2_gbm_poisson,43.567276,38,39.666667,C,True,Forecast
17084R,ASSORTED INCENSE PACK,2011-11,2011-12,M2_gbm_poisson,118.108276,216,312.000000,B,True,Forecast
17090A,LAVENDER INCENSE 40 CONES IN TIN,2011-11,2011-12,M2_gbm_poisson,14.643089,9,5.000000,C,True,Forecast
17090D,VANILLA INCENSE 40 CONES IN TIN,2011-11,2011-12,M2_gbm_poisson,2.085133,0,0.000000,C,True,Forecast
17091J,VANILLA INCENSE IN TIN,2011-11,2011-12,M2_gbm_poisson,89.556654,182,153.333333,B,True,Forecast
17096,ASSORTED LAQUERED INCENSE HOLDERS,2011-11,2011-12,M2_gbm_poisson,2.287662,0,0.000000,B,True,Forecast
17107D,"FLOWER FAIRY,5 SUMMER B'DRAW LINERS",2011-11,2011-12,M2_gbm_poisson,32.610561,15,18.666667,C,True,Forecast
17129F,BLUE GLASS GEMS IN BAG,2011-11,2011-12,M2_gbm_poisson,24.053807,1,17.666667,B,True,Forecast
17136A,BLUE STONES ON WIRE FOR CANDLE,2011-11,2011-12,M2_gbm_poisson,62.013459,96,63.666667,C,True,Forecast
17174,ASSTD RASTA KEY-CHAINS,2011-11,2011-12,M2_gbm_poisson,14.798043,8,2.666667,C,True,Forecast
17191A,ROSE FLOWER CANDLE+INCENSE 16X16CM,2011-11,2011-12,M2_gbm_poisson,5.540197,2,0.666667,C,True,Forecast
18007,ESSENTIAL BALM 3.5g TIN IN ENVELOPE,2011-11,2011-12,M2_gbm_poisson,3.436533,0,0.000000,C,True,Forecast
18094C,WHITE AND BLUE CERAMIC OIL BURNER,2011-11,2011-12,M2_gbm_poisson,9.788058,0,8.333333,C,True,Forecast
18097A,PINK TALL PORCELAIN T-LIGHT HOLDER,2011-11,2011-12,M2_gbm_poisson,2.141533,0,0.000000,C,True,Forecast
18097C,WHITE TALL PORCELAIN T-LIGHT HOLDER,2011-11,2011-12,M2_gbm_poisson,33.153885,26,14.666667,A,True,Forecast
18098C,PORCELAIN BUTTERFLY OIL BURNER,2011-11,2011-12,M2_gbm_poisson,3.021769,0,0.000000,A,True,Forecast
20615,BLUE POLKADOT PASSPORT COVER,2011-11,2011-12,M2_gbm_poisson,52.038571,75,35.000000,C,True,Forecast
20616,CHERRY BLOSSOM PASSPORT COVER,2011-11,2011-12,M2_gbm_poisson,30.837796,25,11.333333,C,True,Forecast
20617,FIRST CLASS PASSPORT COVER,2011-11,2011-12,M2_gbm_poisson,15.501440,12,6.000000,C,True,Forecast
20618,QUEEN OF THE SKIES PASSPORT COVER,2011-11,2011-12,M2_gbm_poisson,16.696545,10,5.333333,C,True,Forecast
20619,TROPICAL PASSPORT COVER,2011-11,2011-12,M2_gbm_poisson,14.267031,8,5.333333,C,True,Forecast
20622,VIPPASSPORT COVER,2011-11,2011-12,M2_gbm_poisson,20.025278,17,7.000000,B,True,Forecast
20652,BLUE POLKADOT LUGGAGE TAG,2011-11,2011-12,M2_gbm_poisson,44.173338,47,22.000000,C,True,Forecast
20653,CHERRY BLOSSOM LUGGAGE TAG,2011-11,2011-12,M2_gbm_poisson,18.126530,14,5.000000,C,True,Forecast
20654,FIRST CLASS LUGGAGE TAG,2011-11,2011-12,M2_gbm_poisson,31.160890,23,9.333333,C,True,Forecast
20655,QUEEN OF SKIES LUGGAGE TAG,2011-11,2011-12,M2_gbm_poisson,17.467245,10,7.666667,C,True,Forecast
20657,TROPICAL LUGGAGE TAG,2011-11,2011-12,M2_gbm_poisson,15.327706,9,5.333333,C,True,Forecast
20658,RED SPOTTY LUGGAGE TAG,2011-11,2011-12,M2_gbm_poisson,5.844373,0,2.666667,B,True,Forecast
20659,ECONOMY LUGGAGE TAG,2011-11,2011-12,M2_gbm_poisson,30.274957,21,13.666667,C,True,Forecast
20661,BLUE SPOTTY PURSE,2011-11,2011-12,M2_gbm_poisson,12.099235,5,4.333333,C,True,Forecast
20662,FIRST CLASS HOLIDAY PURSE,2011-11,2011-12,M2_gbm_poisson,3.250238,0,1.000000,C,True,Forecast
20663,QUEEN OF THE SKIES HOLIDAY PURSE,2011-11,2011-12,M2_gbm_poisson,2.964982,0,0.333333,C,True,Forecast
20664,TROPICAL HOLIDAY PURSE,2011-11,2011-12,M2_gbm_poisson,3.645793,0,0.000000,C,True,Forecast
20665,RED RETROSPOT PURSE,2011-11,2011-12,M2_gbm_poisson,20.770729,5,19.000000,A,True,Forecast
20666,ECONOMY HOLIDAY PURSE,2011-11,2011-12,M2_gbm_poisson,2.054573,0,0.000000,C,True,Forecast
20667,CHERRY BLOSSOM PURSE,2011-11,2011-12,M2_gbm_poisson,3.559565,0,0.000000,C,True,Forecast
20668,DISCO BALL CHRISTMAS DECORATION,2011-11,2011-12,M2_gbm_poisson,1613.290184,4329,2338.000000,B,True,Forecast
20669,RED HEART LUGGAGE TAG,2011-11,2011-12,M2_gbm_poisson,40.853688,28,26.666667,C,True,Forecast
20670,VIP HOLIDAY PURSE,2011-11,2011-12,M2_gbm_poisson,4.473680,2,1.333333,C,True,Forecast
20674,GREEN POLKADOT BOWL,2011-11,2011-12,M2_gbm_poisson,71.107072,107,129.000000,A,True,Forecast
20675,BLUE POLKADOT BOWL,2011-11,2011-12,M2_gbm_poisson,120.280693,173,209.666667,A,True,Forecast
20676,RED RETROSPOT BOWL,2011-11,2011-12,M2_gbm_poisson,231.611360,454,296.000000,A,True,Forecast
20677,PINK POLKADOT BOWL,2011-11,2011-12,M2_gbm_poisson,139.181026,209,210.000000,A,True,Forecast
20678,LARGE BLACK DIAMANTE HAIRSLIDE,2011-11,2011-12,M2_gbm_poisson,35.611094,0,1.333333,C,True,Forecast
20679,EDWARDIAN PARASOL RED,2011-11,2011-12,M2_gbm_poisson,104.248617,162,189.000000,A,True,Forecast
20682,RED RETROSPOT CHILDRENS UMBRELLA,2011-11,2011-12,M2_gbm_poisson,85.301082,124,147.000000,A,True,Forecast
20684,STRAWBERRY DREAM CHILDS UMBRELLA,2011-11,2011-12,M2_gbm_poisson,2.043711,0,0.000000,B,True,Forecast
20685,DOORMAT RED RETROSPOT,2011-11,2011-12,M2_gbm_poisson,224.521940,339,241.000000,A,True,Forecast
20686,DOLLY MIXTURE CHILDREN'S UMBRELLA,2011-11,2011-12,M2_gbm_poisson,47.197802,62,40.000000,B,True,Forecast
20694,FLORAL PINK MONSTER,2011-11,2011-12,M2_gbm_poisson,9.741369,1,4.333333,C,True,Forecast
20695,FLORAL BLUE MONSTER,2011-11,2011-12,M2_gbm_poisson,4.512597,1,1.000000,C,True,Forecast
20696,FLORAL SOFT CAR TOY,2011-11,2011-12,M2_gbm_poisson,11.347893,3,6.000000,C,True,Forecast
20697,LITTLE GREEN MONSTER SOFT TOY,2011-11,2011-12,M2_gbm_poisson,9.300159,4,3.000000,C,True,Forecast
20698,LITTLE PINK MONSTER SOFT TOY,2011-11,2011-12,M2_gbm_poisson,12.600962,6,3.666667,C,True,Forecast
20699,MOUSEY LONG LEGS SOFT TOY,2011-11,2011-12,M2_gbm_poisson,5.191489,3,1.000000,C,True,Forecast
20700,GREEN CAT FLORAL CUSHION COVER,2011-11,2011-12,M2_gbm_poisson,6.418552,0,6.333333,B,True,Forecast
20701,PINK CAT FLORAL CUSHION COVER,2011-11,2011-12,M2_gbm_poisson,2.067319,0,0.000000,C,True,Forecast
20702,PINK PADDED MOBILE,2011-11,2011-12,M2_gbm_poisson,4.934939,0,2.000000,B,True,Forecast
20704,MR ROBOT SOFT TOY,2011-11,2011-12,M2_gbm_poisson,11.018163,3,6.666667,B,True,Forecast
20705,MRS ROBOT SOFT TOY,2011-11,2011-12,M2_gbm_poisson,7.084906,1,3.000000,C,True,Forecast
20707,CRAZY DAISY HEART DECORATION,2011-11,2011-12,M2_gbm_poisson,30.461178,16,12.333333,B,True,Forecast
20711,JUMBO BAG TOYS,2011-11,2011-12,M2_gbm_poisson,186.328026,391,362.000000,A,True,Forecast
20712,JUMBO BAG WOODLAND ANIMALS,2011-11,2011-12,M2_gbm_poisson,444.404687,772,1055.666667,A,True,Forecast
20713,JUMBO BAG OWLS,2011-11,2011-12,M2_gbm_poisson,522.379526,689,1196.333333,A,True,Forecast
20716,PARTY FOOD SHOPPER BAG,2011-11,2011-12,M2_gbm_poisson,2.054573,0,0.000000,B,True,Forecast
20717,STRAWBERRY SHOPPER BAG,2011-11,2011-12,M2_gbm_poisson,118.504153,234,143.333333,A,True,Forecast
20718,RED RETROSPOT SHOPPER BAG,2011-11,2011-12,M2_gbm_poisson,253.973558,505,348.333333,A,True,Forecast
20719,WOODLAND CHARLOTTE BAG,2011-11,2011-12,M2_gbm_poisson,531.474073,1018,1020.333333,A,True,Forecast
20723,STRAWBERRY CHARLOTTE BAG,2011-11,2011-12,M2_gbm_poisson,408.389420,935,914.000000,A,True,Forecast
20724,RED RETROSPOT CHARLOTTE BAG,2011-11,2011-12,M2_gbm_poisson,969.145395,2209,1887.333333,A,True,Forecast
20725,LUNCH BAG RED RETROSPOT,2011-11,2011-12,M2_gbm_poisson,1007.618266,1992,1685.666667,A,True,Forecast
20726,LUNCH BAG WOODLAND,2011-11,2011-12,M2_gbm_poisson,377.067988,697,694.666667,A,True,Forecast
20727,LUNCH BAG  BLACK SKULL.,2011-11,2011-12,M2_gbm_poisson,858.276694,1207,1195.000000,A,True,Forecast
20728,LUNCH BAG CARS BLUE,2011-11,2011-12,M2_gbm_poisson,560.980134,935,938.000000,A,True,Forecast
20731,POSY CANDY BAG,2011-11,2011-12,M2_gbm_poisson,2.085133,0,0.000000,B,True,Forecast
20733,GOLD MINI TAPE MEASURE,2011-11,2011-12,M2_gbm_poisson,55.480077,63,50.666667,B,True,Forecast
20735,BLACK MINI TAPE MEASURE,2011-11,2011-12,M2_gbm_poisson,15.169608,6,5.666667,B,True,Forecast
20748,KENSINGTON COFFEE SET,2011-11,2011-12,M2_gbm_poisson,16.900884,14,7.666667,A,True,Forecast
20749,ASSORTED COLOUR MINI CASES,2011-11,2011-12,M2_gbm_poisson,128.078803,281,187.000000,A,True,Forecast
20750,RED RETROSPOT MINI CASES,2011-11,2011-12,M2_gbm_poisson,114.602938,212,158.666667,A,True,Forecast
20751,FUNKY WASHING UP GLOVES ASSORTED,2011-11,2011-12,M2_gbm_poisson,57.762033,50,56.666667,A,True,Forecast
20752,BLUE POLKADOT WASHING UP GLOVES,2011-11,2011-12,M2_gbm_poisson,40.853688,25,25.000000,B,True,Forecast
20754,RETROSPOT RED WASHING UP GLOVES,2011-11,2011-12,M2_gbm_poisson,56.755803,43,66.333333,A,True,Forecast
20755,BLUE PAISLEY POCKET BOOK,2011-11,2011-12,M2_gbm_poisson,54.094463,87,48.666667,B,True,Forecast
20756,GREEN FERN POCKET BOOK,2011-11,2011-12,M2_gbm_poisson,24.412839,13,10.000000,C,True,Forecast
20757,RED DAISY POCKET BOOK,2011-11,2011-12,M2_gbm_poisson,47.296093,60,24.333333,C,True,Forecast
20758,ABSTRACT CIRCLES POCKET BOOK,2011-11,2011-12,M2_gbm_poisson,39.799689,37,20.000000,C,True,Forecast
20759,CHRYSANTHEMUM POCKET BOOK,2011-11,2011-12,M2_gbm_poisson,31.678818,26,11.666667,C,True,Forecast
20760,GARDEN PATH POCKET BOOK,2011-11,2011-12,M2_gbm_poisson,28.307961,18,13.333333,B,True,Forecast
20761,BLUE PAISLEY SKETCHBOOK,2011-11,2011-12,M2_gbm_poisson,20.083996,14,14.000000,B,True,Forecast
20762,GREEN FERN SKETCHBOOK,2011-11,2011-12,M2_gbm_poisson,12.380713,8,7.333333,B,True,Forecast
20763,DAISY SKETCHBOOK,2011-11,2011-12,M2_gbm_poisson,31.895099,24,10.333333,C,True,Forecast
20764,ABSTRACT CIRCLES SKETCHBOOK,2011-11,2011-12,M2_gbm_poisson,33.199811,26,16.000000,B,True,Forecast
20765,CHRYSANTHEMUM SKETCHBOOK,2011-11,2011-12,M2_gbm_poisson,18.562019,12,9.000000,B,True,Forecast
20766,GARDEN PATH SKETCHBOOK,2011-11,2011-12,M2_gbm_poisson,20.757927,14,11.333333,B,True,Forecast
20767,BLUE PAISLEY JOURNAL,2011-11,2011-12,M2_gbm_poisson,40.201920,23,18.333333,B,True,Forecast
20768,GREEN FERN JOURNAL,2011-11,2011-12,M2_gbm_poisson,42.910557,42,19.666667,B,True,Forecast
20769,DAISY JOURNAL,2011-11,2011-12,M2_gbm_poisson,22.186513,14,10.666667,C,True,Forecast
20770,ABSTRACT CIRCLE JOURNAL,2011-11,2011-12,M2_gbm_poisson,7.231542,2,2.000000,B,True,Forecast
20771,CHRYSANTHEMUM  JOURNAL,2011-11,2011-12,M2_gbm_poisson,29.580105,22,13.000000,B,True,Forecast
20772,GARDEN PATH JOURNAL,2011-11,2011-12,M2_gbm_poisson,57.943338,105,46.333333,B,True,Forecast
20773,BLUE PAISLEY NOTEBOOK,2011-11,2011-12,M2_gbm_poisson,3.785912,0,0.666667,B,True,Forecast
20774,GREEN FERN NOTEBOOK,2011-11,2011-12,M2_gbm_poisson,10.527934,0,14.666667,C,True,Forecast
20775,DAISY NOTEBOOK,2011-11,2011-12,M2_gbm_poisson,44.976026,48,29.333333,C,True,Forecast
20777,CHRYSANTHEMUM NOTEBOOK,2011-11,2011-12,M2_gbm_poisson,53.731671,56,35.666667,B,True,Forecast
20780,BLACK EAR MUFF HEADPHONES,2011-11,2011-12,M2_gbm_poisson,13.659094,10,3.666667,B,True,Forecast
20781,GOLD EAR MUFF HEADPHONES,2011-11,2011-12,M2_gbm_poisson,14.870462,10,4.000000,C,True,Forecast
20782,CAMOUFLAGE EAR MUFF HEADPHONES,2011-11,2011-12,M2_gbm_poisson,12.548588,6,3.666667,C,True,Forecast
20793,BLUE TILED TRAY,2011-11,2011-12,M2_gbm_poisson,2.446845,0,0.333333,C,True,Forecast
20794,BLUE  TILE HOOK,2011-11,2011-12,M2_gbm_poisson,12.677553,5,4.333333,C,True,Forecast
20795,LARGE BLUE PROVENCAL CERAMIC BALL,2011-11,2011-12,M2_gbm_poisson,13.373933,5,5.666667,C,True,Forecast
20796,SMALL BLUE PROVENCAL CERAMIC BALL,2011-11,2011-12,M2_gbm_poisson,11.920919,4,5.000000,C,True,Forecast
20802,SMALL GLASS SUNDAE DISH CLEAR,2011-11,2011-12,M2_gbm_poisson,37.632768,30,25.333333,B,True,Forecast
20819,SILVER TEDDY BEAR,2011-11,2011-12,M2_gbm_poisson,31.303334,25,11.666667,C,True,Forecast
20821,GOLDIE LOOKING MIRROR,2011-11,2011-12,M2_gbm_poisson,4.397964,2,0.666667,C,True,Forecast
20823,GOLD WINE GOBLET,2011-11,2011-12,M2_gbm_poisson,2.074774,0,0.000000,C,True,Forecast
20828,GLITTER BUTTERFLY CLIPS,2011-11,2011-12,M2_gbm_poisson,78.082547,124,90.666667,A,True,Forecast
20829,GLITTER HANGING BUTTERFLY STRING,2011-11,2011-12,M2_gbm_poisson,88.421533,153,103.333333,A,True,Forecast
20830,SILVER PHOTO FRAME,2011-11,2011-12,M2_gbm_poisson,5.303210,0,2.000000,B,True,Forecast
20831,GOLD PHOTO FRAME,2011-11,2011-12,M2_gbm_poisson,19.456072,12,9.666667,C,True,Forecast
20832,RED FLOCK LOVE HEART PHOTO FRAME,2011-11,2011-12,M2_gbm_poisson,65.567970,103,122.000000,C,True,Forecast
20835,FRENCH LATTICE CUSHION COVER,2011-11,2011-12,M2_gbm_poisson,16.389314,12,8.000000,C,True,Forecast
20836,FRENCH PAISLEY CUSHION COVER,2011-11,2011-12,M2_gbm_poisson,41.123460,42,30.000000,C,True,Forecast
20837,FRENCH FLORAL CUSHION COVER,2011-11,2011-12,M2_gbm_poisson,42.369033,39,19.000000,C,True,Forecast
20838,FRENCH LATTICE CUSHION COVER,2011-11,2011-12,M2_gbm_poisson,47.185595,34,51.000000,C,True,Forecast
20839,FRENCH PAISLEY CUSHION COVER,2011-11,2011-12,M2_gbm_poisson,70.362595,92,95.666667,C,True,Forecast
20840,FRENCH FLORAL CUSHION COVER,2011-11,2011-12,M2_gbm_poisson,41.102400,30,34.000000,B,True,Forecast
20845,ZINC HEART LATTICE 2 WALL PLANTER,2011-11,2011-12,M2_gbm_poisson,2.430712,0,0.000000,C,True,Forecast
20846,ZINC HEART LATTICE T-LIGHT HOLDER,2011-11,2011-12,M2_gbm_poisson,60.382455,90,51.666667,B,True,Forecast
20847,ZINC HEART LATTICE CHARGER LARGE,2011-11,2011-12,M2_gbm_poisson,8.574417,1,2.333333,C,True,Forecast
20848,ZINC HEART LATTICE CHARGER SMALL,2011-11,2011-12,M2_gbm_poisson,5.020509,3,1.666667,C,True,Forecast
20856,DENIM PATCH PURSE PINK BUTTERFLY,2011-11,2011-12,M2_gbm_poisson,3.645793,0,0.000000,C,True,Forecast
20866,BLUE ROSE FABRIC MIRROR,2011-11,2011-12,M2_gbm_poisson,56.296878,45,77.000000,B,True,Forecast
20867,PINK ROSE FABRIC MIRROR,2011-11,2011-12,M2_gbm_poisson,32.102983,24,11.000000,B,True,Forecast
20868,SILVER FABRIC MIRROR,2011-11,2011-12,M2_gbm_poisson,91.297683,279,109.000000,C,True,Forecast
20869,GOLD FABRIC MIRROR,2011-11,2011-12,M2_gbm_poisson,51.834556,80,42.000000,C,True,Forecast
20886,BOX OF 9 PEBBLE CANDLES,2011-11,2011-12,M2_gbm_poisson,19.243784,5,13.333333,A,True,Forecast
20893,HANGING BAUBLE T-LIGHT HOLDER SMALL,2011-11,2011-12,M2_gbm_poisson,19.531328,8,11.666667,B,True,Forecast
20894,HANGING BAUBLE T-LIGHT HOLDER LARGE,2011-11,2011-12,M2_gbm_poisson,16.447454,13,8.000000,C,True,Forecast
20897,VINTAGE NOTEBOOK PARIS DAYS,2011-11,2011-12,M2_gbm_poisson,3.251991,0,0.000000,C,True,Forecast
20898,VINTAGE NOTEBOOK TRAVELOGUE,2011-11,2011-12,M2_gbm_poisson,4.657633,0,1.666667,C,True,Forecast
