stock_code,description,forecast_origin,target_month,model,forecast,sigma,sigma_source,n_residuals_product,z,safety_stock,target_inventory,uncertainty_ratio,abc_class,last_month_units,ma3_units,months_since_last_sale,product_age_months,status,run_id
10138,ASSORTED COLOUR JUMBO PEN,2011-11,2011-12,M2_gbm_poisson,,,,,,,,,C,0,,,,Inactive (no sales in last 6 months),20260818T075922Z-deb02f
11001,ASSTD DESIGN RACING CAR PEN,2011-11,2011-12,M2_gbm_poisson,111.232502,129.451588,product,18,1.645000,212.947862,325,1.163793,A,128,113.333333,1,24,Forecast,20260818T075922Z-deb02f
15030,FAN BLACK FRAME,2011-11,2011-12,M2_gbm_poisson,38.047590,19.052151,product,18,1.645000,31.340789,70,0.500745,C,22,11.666667,1,24,Forecast,20260818T075922Z-deb02f
15034,PAPER POCKET TRAVELING FAN,2011-11,2011-12,M2_gbm_poisson,300.065731,453.064991,product,18,1.645000,745.291911,1046,1.509886,C,573,919.333333,1,24,Forecast,20260818T075922Z-deb02f
15036,ASSORTED COLOURS SILK FAN,2011-11,2011-12,M2_gbm_poisson,456.260613,1738.940428,product,18,1.645000,2860.557004,3317,3.811288,A,604,782.000000,1,24,Forecast,20260818T075922Z-deb02f
15039,SANDALWOOD FAN,2011-11,2011-12,M2_gbm_poisson,113.022708,146.419574,product,18,1.645000,240.860200,354,1.295488,B,208,134.333333,1,24,Forecast,20260818T075922Z-deb02f
15044A,PINK PAPER PARASOL,2011-11,2011-12,M2_gbm_poisson,42.976700,45.489949,product,18,1.645000,74.830965,118,1.058479,A,34,23.000000,1,24,Forecast,20260818T075922Z-deb02f
15044B,BLUE PAPER PARASOL,2011-11,2011-12,M2_gbm_poisson,5.393778,38.359162,product,18,1.645000,63.100821,69,7.111742,A,0,2.000000,3,24,Forecast,20260818T075922Z-deb02f
15044C,PURPLE PAPER PARASOL,2011-11,2011-12,M2_gbm_poisson,30.771120,21.746703,product,18,1.645000,35.773326,67,0.706724,B,16,17.666667,1,24,Forecast,20260818T075922Z-deb02f
15044D,RED PAPER PARASOL,2011-11,2011-12,M2_gbm_poisson,47.072061,61.888320,product,18,1.645000,101.806286,149,1.314757,A,24,67.333333,1,24,Forecast,20260818T075922Z-deb02f
15056BL,EDWARDIAN PARASOL BLACK,2011-11,2011-12,M2_gbm_poisson,153.230411,186.054662,product,18,1.645000,306.059918,460,1.214215,A,176,333.000000,1,24,Forecast,20260818T075922Z-deb02f
15056N,EDWARDIAN PARASOL NATURAL,2011-11,2011-12,M2_gbm_poisson,159.335581,145.332829,product,18,1.645000,239.072503,399,0.912118,A,169,271.666667,1,24,Forecast,20260818T075922Z-deb02f
15056P,EDWARDIAN PARASOL PINK,2011-11,2011-12,M2_gbm_poisson,64.148554,59.442697,product,18,1.645000,97.783237,162,0.926641,A,88,62.000000,1,24,Forecast,20260818T075922Z-deb02f
15058A,BLUE POLKADOT GARDEN PARASOL,2011-11,2011-12,M2_gbm_poisson,9.140558,23.502842,product,18,1.645000,38.662176,48,2.571270,B,2,3.666667,1,23,Forecast,20260818T075922Z-deb02f
15058B,PINK POLKADOT GARDEN PARASOL,2011-11,2011-12,M2_gbm_poisson,8.677140,16.807940,product,18,1.645000,27.649061,37,1.937037,B,1,2.666667,1,23,Forecast,20260818T075922Z-deb02f
15058C,ICE CREAM DESIGN GARDEN PARASOL,2011-11,2011-12,M2_gbm_poisson,6.107861,14.734005,product,18,1.645000,24.237438,31,2.412302,B,1,2.000000,1,23,Forecast,20260818T075922Z-deb02f
15059A,ENGLISH ROSE EDWARDIAN PARASOL,2011-11,2011-12,M2_gbm_poisson,,,,,,,,,B,0,,,,Inactive (no sales in last 6 months),20260818T075922Z-deb02f
15060B,FAIRY CAKE DESIGN UMBRELLA,2011-11,2011-12,M2_gbm_poisson,31.062746,28.061318,product,18,1.645000,46.160869,78,0.903375,A,19,40.000000,1,24,Forecast,20260818T075922Z-deb02f
16008,SMALL FOLDING SCISSOR(POINTED EDGE),2011-11,2011-12,M2_gbm_poisson,247.949697,60.366654,product,18,1.645000,99.303145,348,0.243463,C,941,517.000000,1,21,Forecast,20260818T075922Z-deb02f
16010,FOLDING CAMPING SCISSOR W/KNIF & S,2011-11,2011-12,M2_gbm_poisson,,,,,,,,,C,0,,,,Inactive (no sales in last 6 months),20260818T075922Z-deb02f
16011,ANIMAL STICKERS,2011-11,2011-12,M2_gbm_poisson,129.952565,91.213184,product,18,1.645000,150.045688,280,0.701896,C,359,175.333333,1,24,Forecast,20260818T075922Z-deb02f
16012,FOOD/DRINK SPONGE STICKERS,2011-11,2011-12,M2_gbm_poisson,77.253342,139.825563,product,18,1.645000,230.013051,308,1.809961,C,168,64.000000,1,24,Forecast,20260818T075922Z-deb02f
16014,SMALL CHINESE STYLE SCISSOR,2011-11,2011-12,M2_gbm_poisson,737.426786,1615.123016,product,18,1.645000,2656.877362,3395,2.190215,A,3606,1569.000000,1,24,Forecast,20260818T075922Z-deb02f
16015,MEDIUM CHINESE STYLE SCISSOR,2011-11,2011-12,M2_gbm_poisson,40.122294,72.573863,product,18,1.645000,119.384005,160,1.808816,C,30,16.666667,1,24,Forecast,20260818T075922Z-deb02f
16016,LARGE CHINESE STYLE SCISSOR,2011-11,2011-12,M2_gbm_poisson,63.185177,54.669022,product,18,1.645000,89.930541,154,0.865219,B,140,76.666667,1,24,Forecast,20260818T075922Z-deb02f
16020C,CLEAR STATIONERY BOX SET,2011-11,2011-12,M2_gbm_poisson,2.054573,13.143027,product,18,1.645000,21.620279,24,6.396961,C,0,0.000000,5,24,Forecast,20260818T075922Z-deb02f
16033,MINI HIGHLIGHTER PENS,2011-11,2011-12,M2_gbm_poisson,,,,,,,,,B,0,,,,Inactive (no sales in last 6 months),20260818T075922Z-deb02f
16043,POP ART PUSH DOWN RUBBER,2011-11,2011-12,M2_gbm_poisson,3.515583,48.490064,product,16,1.645000,79.766155,84,13.792895,C,0,0.000000,6,24,Forecast,20260818T075922Z-deb02f
16044,POP-ART FLUORESCENT PENS,2011-11,2011-12,M2_gbm_poisson,,,,,,,,,C,0,,,,Inactive (no sales in last 6 months),20260818T075922Z-deb02f
16045,POPART WOODEN PENCILS ASST,2011-11,2011-12,M2_gbm_poisson,463.819604,112.530081,product,18,1.645000,185.111984,649,0.242616,C,1000,1366.666667,1,23,Forecast,20260818T075922Z-deb02f
16046,TEATIME PEN CASE & PENS,2011-11,2011-12,M2_gbm_poisson,6.882817,15.474415,product,18,1.645000,25.455413,33,2.248268,B,1,1.333333,1,24,Forecast,20260818T075922Z-deb02f
16047,POP ART PEN CASE & PENS,2011-11,2011-12,M2_gbm_poisson,,,,,,,,,B,0,,,,Inactive (no sales in last 6 months),20260818T075922Z-deb02f
16048,TEATIME ROUND PENCIL SHARPENER,2011-11,2011-12,M2_gbm_poisson,94.630598,97.140916,product,18,1.645000,159.796806,255,1.026528,C,126,160.333333,1,24,Forecast,20260818T075922Z-deb02f
16049,TEATIME GEL PENS ASST,2011-11,2011-12,M2_gbm_poisson,,,,,,,,,C,0,,,,Inactive (no sales in last 6 months),20260818T075922Z-deb02f
16050,TEATIME PENCIL WITH RUBBER,2011-11,2011-12,M2_gbm_poisson,,,,,,,,,C,0,,,,Inactive (no sales in last 6 months),20260818T075922Z-deb02f
16051,TEATIME PENCIL W STAMP ASST,2011-11,2011-12,M2_gbm_poisson,,,,,,,,,C,0,,,,Inactive (no sales in last 6 months),20260818T075922Z-deb02f
16052,TEATIME PUSH DOWN RUBBER,2011-11,2011-12,M2_gbm_poisson,2.042813,36.347570,product,18,1.645000,59.791752,62,17.792902,C,0,0.000000,6,24,Forecast,20260818T075922Z-deb02f
16053,POPART COL BALLPOINT PEN ASST,2011-11,2011-12,M2_gbm_poisson,,,,,,,,,C,0,,,,Inactive (no sales in last 6 months),20260818T075922Z-deb02f
16054,POPART RECT PENCIL SHARPENER ASST,2011-11,2011-12,M2_gbm_poisson,92.771793,33.057162,product,18,1.645000,54.379031,148,0.356328,C,330,231.333333,1,23,Forecast,20260818T075922Z-deb02f
16119,FUNKY GIRL ADDRESS BOOK,2011-11,2011-12,M2_gbm_poisson,,,,,,,,,C,0,,,,Inactive (no sales in last 6 months),20260818T075922Z-deb02f
16151A,FLOWERS HANDBAG blue and orange,2011-11,2011-12,M2_gbm_poisson,,,,,,,,,C,0,,,,Inactive (no sales in last 6 months),20260818T075922Z-deb02f
16156L,"WRAP, CAROUSEL",2011-11,2011-12,M2_gbm_poisson,32.512159,25.190189,product,18,1.645000,41.437862,74,0.774793,C,25,25.000000,1,23,Forecast,20260818T075922Z-deb02f
16156N,"WRAP, FRIENDSHIP ON GREEN",2011-11,2011-12,M2_gbm_poisson,,,,,,,,,C,0,,,,Inactive (no sales in last 6 months),20260818T075922Z-deb02f
16156S,WRAP PINK FAIRY CAKES,2011-11,2011-12,M2_gbm_poisson,188.600615,374.068283,product,18,1.645000,615.342325,804,1.983388,A,475,616.666667,1,24,Forecast,20260818T075922Z-deb02f
16161C,WRAP SPEED DEMONS,2011-11,2011-12,M2_gbm_poisson,,,,,,,,,C,0,,,,Inactive (no sales in last 6 months),20260818T075922Z-deb02f
16161E,WRAP BOUDOIR,2011-11,2011-12,M2_gbm_poisson,,,,,,,,,C,0,,,,Inactive (no sales in last 6 months),20260818T075922Z-deb02f
16161G,WRAP BAD HAIR DAY,2011-11,2011-12,M2_gbm_poisson,63.259885,51.065637,product,18,1.645000,84.002972,148,0.807236,C,125,116.666667,1,23,Forecast,20260818T075922Z-deb02f
16161M,WRAP  PINK FLOCK,2011-11,2011-12,M2_gbm_poisson,,,,,,,,,C,0,,,,Inactive (no sales in last 6 months),20260818T075922Z-deb02f
16161P,WRAP ENGLISH ROSE,2011-11,2011-12,M2_gbm_poisson,221.592764,266.183039,product,18,1.645000,437.871099,660,1.201226,A,525,666.666667,1,24,Forecast,20260818T075922Z-deb02f
16161U,WRAP SUKI AND FRIENDS,2011-11,2011-12,M2_gbm_poisson,146.899182,194.351884,product,18,1.645000,319.708850,467,1.323029,B,300,491.666667,1,24,Forecast,20260818T075922Z-deb02f
16162L,THE KING GIFT BAG,2011-11,2011-12,M2_gbm_poisson,7.951494,19.281954,product,18,1.645000,31.718815,40,2.424947,C,0,3.333333,3,24,Forecast,20260818T075922Z-deb02f
16162M,THE KING GIFT BAG 25x24x12cm,2011-11,2011-12,M2_gbm_poisson,15.869600,20.162322,product,15,1.645000,33.167020,50,1.270500,C,4,6.000000,1,18,Forecast,20260818T075922Z-deb02f
16168M,FUNKY MONKEY GIFT BAG MEDIUM,2011-11,2011-12,M2_gbm_poisson,40.153269,26.668045,product,18,1.645000,43.868934,85,0.664156,C,35,19.333333,1,24,Forecast,20260818T075922Z-deb02f
16168S,FUNKY MONKEY GIFT BAG SMALL,2011-11,2011-12,M2_gbm_poisson,,,,,,,,,C,0,,,,Inactive (no sales in last 6 months),20260818T075922Z-deb02f
16169A,WRAP CHRISTMAS DECOUPAGE,2011-11,2011-12,M2_gbm_poisson,,,,,,,,,C,0,,,,Inactive (no sales in last 6 months),20260818T075922Z-deb02f
16169C,WRAP BLUE REINDEER,2011-11,2011-12,M2_gbm_poisson,,,,,,,,,C,0,,,,Inactive (no sales in last 6 months),20260818T075922Z-deb02f
16169D,WRAP WINTER FOREST,2011-11,2011-12,M2_gbm_poisson,,,,,,,,,C,0,,,,Inactive (no sales in last 6 months),20260818T075922Z-deb02f
16169E,WRAP 50'S  CHRISTMAS,2011-11,2011-12,M2_gbm_poisson,679.893606,8.023905,abc_group,4,1.645000,13.199324,694,0.011802,C,1625,1254.000000,1,5,Forecast,20260818T075922Z-deb02f
16169F,WRAP BLIZZARD,2011-11,2011-12,M2_gbm_poisson,,,,,,,,,C,0,,,,Inactive (no sales in last 6 months),20260818T075922Z-deb02f
16169G,WRAP ROMANTIC DECOUPAGE,2011-11,2011-12,M2_gbm_poisson,,,,,,,,,C,0,,,,Inactive (no sales in last 6 months),20260818T075922Z-deb02f
16169K,WRAP FOLK ART,2011-11,2011-12,M2_gbm_poisson,9.673063,51.949266,product,18,1.645000,85.456543,96,5.370508,C,0,16.666667,3,24,Forecast,20260818T075922Z-deb02f
16169M,WRAP DAISY CARPET,2011-11,2011-12,M2_gbm_poisson,42.243701,56.200844,product,18,1.645000,92.450388,135,1.330396,C,50,50.000000,1,24,Forecast,20260818T075922Z-deb02f
16169N,WRAP BLUE RUSSIAN FOLKART,2011-11,2011-12,M2_gbm_poisson,,,,,,,,,C,0,,,,Inactive (no sales in last 6 months),20260818T075922Z-deb02f
16169P,WRAP GREEN RUSSIAN FOLKART,2011-11,2011-12,M2_gbm_poisson,,,,,,,,,C,0,,,,Inactive (no sales in last 6 months),20260818T075922Z-deb02f
16192,PINK BALLET OPENING CUBE BOX,2011-11,2011-12,M2_gbm_poisson,,,,,,,,,C,0,,,,Inactive (no sales in last 6 months),20260818T075922Z-deb02f
16201A,PASTEL PINK PHOTO ALBUM,2011-11,2011-12,M2_gbm_poisson,,,,,,,,,C,0,,,,Inactive (no sales in last 6 months),20260818T075922Z-deb02f
16201B,PASTEL BLUE PHOTO ALBUM,2011-11,2011-12,M2_gbm_poisson,,,,,,,,,C,0,,,,Inactive (no sales in last 6 months),20260818T075922Z-deb02f
16202A,PASTEL PINK PHOTO ALBUM,2011-11,2011-12,M2_gbm_poisson,,,,,,,,,C,0,,,,Inactive (no sales in last 6 months),20260818T075922Z-deb02f
16202B,PASTEL BLUE PHOTO ALBUM,2011-11,2011-12,M2_gbm_poisson,,,,,,,,,C,0,,,,Inactive (no sales in last 6 months),20260818T075922Z-deb02f
16202C,BEIGE PHOTO ALBUM,2011-11,2011-12,M2_gbm_poisson,,,,,,,,,C,0,,,,Inactive (no sales in last 6 months),20260818T075922Z-deb02f
16202E,BLACK PHOTO ALBUM,2011-11,2011-12,M2_gbm_poisson,,,,,,,,,C,0,,,,Inactive (no sales in last 6 months),20260818T075922Z-deb02f
16206B,RED PURSE WITH PINK HEART,2011-11,2011-12,M2_gbm_poisson,,,,,,,,,C,0,,,,Inactive (no sales in last 6 months),20260818T075922Z-deb02f
16207A,PINK STRAWBERRY HANDBAG,2011-11,2011-12,M2_gbm_poisson,9.177725,12.234341,product,18,1.645000,20.125491,30,1.333047,C,1,2.333333,1,24,Forecast,20260818T075922Z-deb02f
16207B,PINK HEART RED HANDBAG,2011-11,2011-12,M2_gbm_poisson,3.559565,2.901745,product,18,1.645000,4.773370,9,0.815197,C,0,0.000000,4,24,Forecast,20260818T075922Z-deb02f
16212,FUNKY GIRLZ ASST MAGNETIC MEMO PAD,2011-11,2011-12,M2_gbm_poisson,,,,,,,,,C,0,,,,Inactive (no sales in last 6 months),20260818T075922Z-deb02f
16215,FUNKY GIRLZ MAGNETIC TO DO LIST,2011-11,2011-12,M2_gbm_poisson,,,,,,,,,C,0,,,,Inactive (no sales in last 6 months),20260818T075922Z-deb02f
16216,LETTER SHAPE PENCIL SHARPENER,2011-11,2011-12,M2_gbm_poisson,201.824964,86.944927,product,18,1.645000,143.024405,345,0.430794,C,394,251.666667,1,24,Forecast,20260818T075922Z-deb02f
16218,CARTOON  PENCIL SHARPENERS,2011-11,2011-12,M2_gbm_poisson,223.386098,135.400595,product,18,1.645000,222.733978,447,0.606128,C,565,550.333333,1,24,Forecast,20260818T075922Z-deb02f
16219,HOUSE SHAPE PENCIL SHARPENER,2011-11,2011-12,M2_gbm_poisson,218.018566,71.367175,product,18,1.645000,117.399003,336,0.327344,C,265,424.666667,1,24,Forecast,20260818T075922Z-deb02f
16225,RATTLE SNAKE EGGS,2011-11,2011-12,M2_gbm_poisson,68.295838,30.987007,product,18,1.645000,50.973627,120,0.453717,C,112,79.333333,1,24,Forecast,20260818T075922Z-deb02f
16235,RECYCLED PENCIL WITH RABBIT ERASER,2011-11,2011-12,M2_gbm_poisson,136.644311,174.243455,product,18,1.645000,286.630483,424,1.275161,B,228,173.000000,1,24,Forecast,20260818T075922Z-deb02f
16236,KITTY PENCIL ERASERS,2011-11,2011-12,M2_gbm_poisson,118.159277,113.226607,product,18,1.645000,186.257768,305,0.958254,C,260,165.333333,1,24,Forecast,20260818T075922Z-deb02f
16237,SLEEPING CAT ERASERS,2011-11,2011-12,M2_gbm_poisson,355.185130,219.236658,product,18,1.645000,360.644303,716,0.617246,B,927,517.666667,1,24,Forecast,20260818T075922Z-deb02f
16238,PARTY TIME PENCIL ERASERS,2011-11,2011-12,M2_gbm_poisson,75.849315,56.533910,product,18,1.645000,92.998282,169,0.745345,C,176,121.333333,1,24,Forecast,20260818T075922Z-deb02f
16239,BALLERINA HEART DECORATION.,2011-11,2011-12,M2_gbm_poisson,,,,,,,,,C,0,,,,Inactive (no sales in last 6 months),20260818T075922Z-deb02f
16243B,BROWN COZY SQUARE PHOTO ALBUM,2011-11,2011-12,M2_gbm_poisson,,,,,,,,,C,0,,,,Inactive (no sales in last 6 months),20260818T075922Z-deb02f
16244A,MAXWELL 2 TONE PINK 60 PAGE PHOTO A,2011-11,2011-12,M2_gbm_poisson,,,,,,,,,C,0,,,,Inactive (no sales in last 6 months),20260818T075922Z-deb02f
16244B,MAXWELL 2 TONE BLUE 60 PAGE PHOTO A,2011-11,2011-12,M2_gbm_poisson,,,,,,,,,C,0,,,,Inactive (no sales in last 6 months),20260818T075922Z-deb02f
16245A,PINK MINI STATIONERY SET W CASE,2011-11,2011-12,M2_gbm_poisson,,,,,,,,,C,0,,,,Inactive (no sales in last 6 months),20260818T075922Z-deb02f
16248B,BLUE HOLE PUNCH,2011-11,2011-12,M2_gbm_poisson,5.955761,6.467472,product,14,1.645000,10.638991,17,1.085919,C,0,3.000000,2,15,Forecast,20260818T075922Z-deb02f
16254,TRANSPARENT ACRYLIC TAPE DISPENSER,2011-11,2011-12,M2_gbm_poisson,18.541560,6.449013,product,17,1.645000,10.608627,30,0.347814,C,7,7.666667,1,23,Forecast,20260818T075922Z-deb02f
16256B,FLOWER PENCIL/RUBBER+5 MINI PENCILS,2011-11,2011-12,M2_gbm_poisson,,,,,,,,,C,0,,,,Inactive (no sales in last 6 months),20260818T075922Z-deb02f
16256C,HEARTS PENCIL/RUBBER+5 MINI PENCILS,2011-11,2011-12,M2_gbm_poisson,,,,,,,,,C,0,,,,Inactive (no sales in last 6 months),20260818T075922Z-deb02f
16258A,SWIRLY CIRCULAR RUBBERS IN BAG,2011-11,2011-12,M2_gbm_poisson,55.677787,25.715178,product,18,1.645000,42.301468,98,0.461857,C,37,42.000000,1,24,Forecast,20260818T075922Z-deb02f
16258B,DAISY ERASERS IN BAG,2011-11,2011-12,M2_gbm_poisson,,,,,,,,,C,0,,,,Inactive (no sales in last 6 months),20260818T075922Z-deb02f
16259,PIECE OF CAMO STATIONERY SET,2011-11,2011-12,M2_gbm_poisson,152.728767,294.602257,product,18,1.645000,484.620713,638,1.928924,C,20,166.666667,1,24,Forecast,20260818T075922Z-deb02f
17001,HEAVENS SCENT FRAGRANCE OILS ASSTD,2011-11,2011-12,M2_gbm_poisson,,,,,,,,,C,0,,,,Inactive (no sales in last 6 months),20260818T075922Z-deb02f
17003,BROCADE RING PURSE,2011-11,2011-12,M2_gbm_poisson,725.934611,1709.779020,product,18,1.645000,2812.586489,3539,2.355280,A,1071,1876.666667,1,24,Forecast,20260818T075922Z-deb02f
17007B,S/3 POT POURI CUSHIONS BLUE COLOURS,2011-11,2011-12,M2_gbm_poisson,2.114785,4.527193,product,18,1.645000,7.447233,10,2.140735,C,0,0.000000,6,24,Forecast,20260818T075922Z-deb02f
17011A,ORIGAMI VANILLA INCENSE+FLOWER,2011-11,2011-12,M2_gbm_poisson,,,,,,,,,C,0,,,,Inactive (no sales in last 6 months),20260818T075922Z-deb02f
17011B,ORIGAMI JASMINE INCENSE+FLOWER,2011-11,2011-12,M2_gbm_poisson,,,,,,,,,C,0,,,,Inactive (no sales in last 6 months),20260818T075922Z-deb02f
17011C,ORIGAMI LAVENDER INCENSE+FLOWER,2011-11,2011-12,M2_gbm_poisson,,,,,,,,,C,0,,,,Inactive (no sales in last 6 months),20260818T075922Z-deb02f
17011D,ORIGAMI ROSE INCENSE+FLOWER,2011-11,2011-12,M2_gbm_poisson,,,,,,,,,C,0,,,,Inactive (no sales in last 6 months),20260818T075922Z-deb02f
17011E,ORIGAMI OPIUM SCENT INCENSE+FLOWER,2011-11,2011-12,M2_gbm_poisson,,,,,,,,,C,0,,,,Inactive (no sales in last 6 months),20260818T075922Z-deb02f
17011F,ORIGAMI SANDLEWOOD INCENSE+FLOWER,2011-11,2011-12,M2_gbm_poisson,,,,,,,,,C,0,,,,Inactive (no sales in last 6 months),20260818T075922Z-deb02f
17012A,ORIGAMI VANILLA INCENSE/CANDLE SET,2011-11,2011-12,M2_gbm_poisson,34.524135,33.486448,product,18,1.645000,55.085208,90,0.969943,C,10,54.000000,1,24,Forecast,20260818T075922Z-deb02f
17012B,ORIGAMI JASMINE INCENSE/CANDLE SET,2011-11,2011-12,M2_gbm_poisson,33.625255,33.695273,product,18,1.645000,55.428723,90,1.002082,C,5,60.666667,1,24,Forecast,20260818T075922Z-deb02f
17012C,ORIGAMI LAVENDER INCENSE/CANDL SET,2011-11,2011-12,M2_gbm_poisson,63.384650,14.709987,product,18,1.645000,24.197928,88,0.232075,C,94,58.666667,1,22,Forecast,20260818T075922Z-deb02f
17012D,ORIGAMI ROSE INCENSE/CANDLE SET,2011-11,2011-12,M2_gbm_poisson,79.591090,13.497739,product,18,1.645000,22.203780,102,0.169589,C,165,98.000000,1,21,Forecast,20260818T075922Z-deb02f
17012E,ORIGAMI OPIUM INCENSE/CANDLE SET,2011-11,2011-12,M2_gbm_poisson,,,,,,,,,C,0,,,,Inactive (no sales in last 6 months),20260818T075922Z-deb02f
17012F,ORIGAMI SANDLEWOOD INCENSE/CAND SET,2011-11,2011-12,M2_gbm_poisson,77.728377,9.465808,product,18,1.645000,15.571254,94,0.121781,C,162,81.333333,1,21,Forecast,20260818T075922Z-deb02f
17013B,ORIGAMI JASMINE INCENSE IN TUBE,2011-11,2011-12,M2_gbm_poisson,,,,,,,,,C,0,,,,Inactive (no sales in last 6 months),20260818T075922Z-deb02f
17013C,ORIGAMI LAVENDER INCENSE IN TUBE,2011-11,2011-12,M2_gbm_poisson,,,,,,,,,C,0,,,,Inactive (no sales in last 6 months),20260818T075922Z-deb02f
17013D,ORIGAMI ROSE INCENSE IN TUBE,2011-11,2011-12,M2_gbm_poisson,2.082963,52.734599,product,18,1.645000,86.748416,89,25.317113,C,0,0.000000,6,24,Forecast,20260818T075922Z-deb02f
17013F,ORIGAMI SANDLEWOOD INCENSE IN TUBE,2011-11,2011-12,M2_gbm_poisson,,,,,,,,,C,0,,,,Inactive (no sales in last 6 months),20260818T075922Z-deb02f
17014A,ORIGAMI VANILLA INCENSE CONES,2011-11,2011-12,M2_gbm_poisson,2.062682,11.066126,product,17,1.645000,18.203778,21,5.364921,C,0,0.000000,6,24,Forecast,20260818T075922Z-deb02f
17014C,ORIGAMI LAVENDER INCENSE CONES,2011-11,2011-12,M2_gbm_poisson,,,,,,,,,C,0,,,,Inactive (no sales in last 6 months),20260818T075922Z-deb02f
17014D,ORIGAMI ROSE INCENSE CONES,2011-11,2011-12,M2_gbm_poisson,,,,,,,,,C,0,,,,Inactive (no sales in last 6 months),20260818T075922Z-deb02f
17014E,ORIGAMI OPIUM INCENSE CONES,2011-11,2011-12,M2_gbm_poisson,,,,,,,,,C,0,,,,Inactive (no sales in last 6 months),20260818T075922Z-deb02f
17014F,ORIGAMI SANDLEWOOD INCENSE CONES,2011-11,2011-12,M2_gbm_poisson,,,,,,,,,C,0,,,,Inactive (no sales in last 6 months),20260818T075922Z-deb02f
17021,NAMASTE SWAGAT INCENSE,2011-11,2011-12,M2_gbm_poisson,62.558055,70.458193,product,18,1.645000,115.903727,179,1.126285,C,108,144.000000,1,23,Forecast,20260818T075922Z-deb02f
17027A,INCENSE BAZAAR CANNABIS,2011-11,2011-12,M2_gbm_poisson,,,,,,,,,C,0,,,,Inactive (no sales in last 6 months),20260818T075922Z-deb02f
17028J,INCENSE BAZAAR PEACH,2011-11,2011-12,M2_gbm_poisson,,,,,,,,,C,0,,,,Inactive (no sales in last 6 months),20260818T075922Z-deb02f
17033,"BROCADE PURSE,SMALL ARCH BUTTON",2011-11,2011-12,M2_gbm_poisson,,,,,,,,,C,0,,,,Inactive (no sales in last 6 months),20260818T075922Z-deb02f
17038,PORCELAIN BUDAH INCENSE HOLDER,2011-11,2011-12,M2_gbm_poisson,78.599591,105.269196,product,18,1.645000,173.167828,252,1.339310,C,204,203.000000,1,24,Forecast,20260818T075922Z-deb02f
17039,INLAID WOOD INCENSE HOLDER,2011-11,2011-12,M2_gbm_poisson,,,,,,,,,C,0,,,,Inactive (no sales in last 6 months),20260818T075922Z-deb02f
17061,ASSORTED SHAPED STENCIL FOR HENNA,2011-11,2011-12,M2_gbm_poisson,,,,,,,,,C,0,,,,Inactive (no sales in last 6 months),20260818T075922Z-deb02f
